=== Unique GPU telemetry hosts for concurrency=16 ===
    204 nid001169
    204 nid001172

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid001169,2026/05/01 15:29:34.521, 0, GPU-77b7fc02-60e5-50da-eda0-16981b2da5f0, NVIDIA A100-SXM4-40GB, 37173, 40960, 0, 103.21, 36
nid001169,2026/05/01 15:29:34.524, 1, GPU-1a07abdb-bb32-41a8-9ac5-ea81aceb50f3, NVIDIA A100-SXM4-40GB, 37109, 40960, 0, 104.24, 33
nid001169,2026/05/01 15:29:34.526, 2, GPU-07e0922a-ca77-77fc-d551-975e074d4a7c, NVIDIA A100-SXM4-40GB, 37109, 40960, 0, 105.89, 35
nid001169,2026/05/01 15:29:34.527, 3, GPU-83ea7693-dec9-433c-3eee-623a3e99d973, NVIDIA A100-SXM4-40GB, 37109, 40960, 0, 104.85, 32
nid001172,2026/05/01 15:29:35.359, 0, GPU-1820edc0-8a81-1193-a8f9-33eb07c66890, NVIDIA A100-SXM4-40GB, 37827, 40960, 0, 76.28, 35
nid001172,2026/05/01 15:29:35.362, 1, GPU-4a61c723-1c8b-5169-5368-70a709b5f44f, NVIDIA A100-SXM4-40GB, 37821, 40960, 0, 103.08, 35
nid001172,2026/05/01 15:29:35.364, 2, GPU-c6166fe2-065c-8c24-5dd6-d7c797d67ad3, NVIDIA A100-SXM4-40GB, 37821, 40960, 0, 78.24, 33
nid001172,2026/05/01 15:29:35.371, 3, GPU-1d0299b0-b08c-b0b9-fe58-21095c0315b1, NVIDIA A100-SXM4-40GB, 37821, 40960, 0, 75.86, 31
nid001169,2026/05/01 15:29:38.345, 0, GPU-77b7fc02-60e5-50da-eda0-16981b2da5f0, NVIDIA A100-SXM4-40GB, 37173, 40960, 0, 103.21, 36
nid001169,2026/05/01 15:29:38.348, 1, GPU-1a07abdb-bb32-41a8-9ac5-ea81aceb50f3, NVIDIA A100-SXM4-40GB, 37109, 40960, 0, 104.24, 33
nid001169,2026/05/01 15:29:38.349, 2, GPU-07e0922a-ca77-77fc-d551-975e074d4a7c, NVIDIA A100-SXM4-40GB, 37109, 40960, 0, 105.89, 35
nid001169,2026/05/01 15:29:38.351, 3, GPU-83ea7693-dec9-433c-3eee-623a3e99d973, NVIDIA A100-SXM4-40GB, 37109, 40960, 0, 104.85, 32
nid001172,2026/05/01 15:29:39.306, 0, GPU-1820edc0-8a81-1193-a8f9-33eb07c66890, NVIDIA A100-SXM4-40GB, 37827, 40960, 0, 76.28, 35
nid001172,2026/05/01 15:29:39.309, 1, GPU-4a61c723-1c8b-5169-5368-70a709b5f44f, NVIDIA A100-SXM4-40GB, 37821, 40960, 0, 102.79, 35
nid001172,2026/05/01 15:29:39.311, 2, GPU-c6166fe2-065c-8c24-5dd6-d7c797d67ad3, NVIDIA A100-SXM4-40GB, 37821, 40960, 0, 78.24, 33
nid001172,2026/05/01 15:29:39.313, 3, GPU-1d0299b0-b08c-b0b9-fe58-21095c0315b1, NVIDIA A100-SXM4-40GB, 37821, 40960, 0, 75.86, 31
nid001169,2026/05/01 15:29:42.402, 0, GPU-77b7fc02-60e5-50da-eda0-16981b2da5f0, NVIDIA A100-SXM4-40GB, 37173, 40960, 0, 103.21, 35
nid001169,2026/05/01 15:29:42.405, 1, GPU-1a07abdb-bb32-41a8-9ac5-ea81aceb50f3, NVIDIA A100-SXM4-40GB, 37109, 40960, 0, 104.24, 33
nid001169,2026/05/01 15:29:42.407, 2, GPU-07e0922a-ca77-77fc-d551-975e074d4a7c, NVIDIA A100-SXM4-40GB, 37109, 40960, 0, 105.53, 35
