Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,1.31,0.00,0.00,0.00,0.00,0.00,0.00,1.16,1.22,1.28,0.44
HTTP Connection Overhead (ms),0.27,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,1.68,1.79,1.86,0.63
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),0.90,0.54,5.05,0.54,0.63,0.68,0.74,0.84,0.91,0.99,1.24,2.00,0.47
HTTP Data Sent (KB),356.80,282.97,502.45,283.01,283.04,283.07,283.21,332.07,374.86,502.25,502.31,502.41,86.16
HTTP DNS Lookup (ms),0.08,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.54,0.57,0.19
HTTP Duration (excl. conn) (ms),778.27,314.81,6242.05,315.18,431.91,453.31,555.83,694.95,806.58,1005.94,1167.79,2149.98,612.80
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.38,0.10,1.83,0.10,0.10,0.11,0.12,0.13,0.18,1.60,1.68,1.82,0.56
HTTP Total Time (ms),778.53,314.80,6242.04,315.17,431.90,453.30,555.83,694.94,808.20,1007.69,1169.35,2149.97,612.84
HTTP Waiting (TTFB) (ms),777.88,314.67,6241.86,315.00,431.77,453.19,555.70,694.82,804.99,1004.13,1166.23,2149.85,612.76
Image Latency (ms/image),778.34,314.85,6242.11,315.23,431.95,453.35,555.87,695.00,806.76,1006.16,1167.95,2150.02,612.80
Image Throughput (images/sec),1.53,0.16,3.18,0.47,0.86,0.99,1.24,1.44,1.80,2.21,2.32,3.17,0.50
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-89.76,-96.29,0.00,-96.29,-94.93,-93.98,-92.87,-91.11,-89.82,-88.14,-81.92,-68.35,9.93
Output Sequence Length (tokens),104.83,38.00,1024.00,38.00,51.90,61.60,73.00,91.00,104.25,121.40,185.15,324.07,101.70
Output Token Count (tokens),104.83,38.00,1024.00,38.00,51.90,61.60,73.00,91.00,104.25,121.40,185.15,324.07,101.70
Request Latency (ms),778.34,314.85,6242.11,315.23,431.95,453.35,555.87,695.00,806.76,1006.16,1167.95,2150.02,612.80
Usage Completion Tokens (tokens),104.83,38.00,1024.00,38.00,51.90,61.60,73.00,91.00,104.25,121.40,185.15,324.07,101.70
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),999.83,933.00,1919.00,933.00,946.90,956.60,968.00,986.00,999.25,1016.40,1080.15,1219.07,101.70

Metric,Value
Benchmark Duration (sec),6.87
Maximum Response Timestamp (ns),1776983773726241536.00
Minimum Request Timestamp (ns),1776983766860067328.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),1526.76
Request Count,100.00
Request Throughput (requests/sec),14.56
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),10483.00
Total Output Tokens (tokens),10483.00
Total Token Throughput (tokens/sec),14561.68
Total Usage Completion Tokens (tokens),10483.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99983.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,GPU Power Usage (W),50.23,50.17,50.29,50.17,50.17,50.22,50.23,50.23,50.23,50.23,50.24,50.28,0.02,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,GPU Memory Used (GB),0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-489af5bb-281c-d301-ccc7-94ec3efcf61e,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,GPU Power Usage (W),54.97,54.92,55.05,54.92,54.92,54.92,54.96,54.99,54.99,54.99,54.99,55.04,0.03,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,GPU Memory Used (GB),0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-812ce26d-b1aa-f87b-7eee-ff743d971630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
