Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12
HTTP Connection Overhead (ms),0.02,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.17
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),1.02,0.78,1.71,0.79,0.88,0.89,0.93,1.01,1.07,1.13,1.20,1.45,0.13
HTTP Data Sent (KB),362.89,282.89,502.48,282.92,283.02,283.05,283.15,318.55,502.14,502.29,502.36,502.42,88.75
HTTP DNS Lookup (ms),0.01,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05
HTTP Duration (excl. conn) (ms),1577.72,764.93,4286.60,785.75,1074.83,1096.69,1294.32,1564.47,1768.74,1934.45,2128.52,3248.98,464.44
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.10,1.56,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.15,0.19,0.14
HTTP Total Time (ms),1577.73,764.92,4286.59,785.74,1074.83,1096.68,1294.31,1564.46,1768.73,1934.45,2128.59,3248.96,464.46
HTTP Waiting (TTFB) (ms),1577.58,764.81,4286.47,785.62,1074.70,1096.55,1294.20,1564.35,1768.62,1934.32,2128.33,3248.79,464.42
Image Latency (ms/image),1577.77,764.97,4286.64,785.80,1074.89,1096.73,1294.36,1564.51,1768.78,1934.49,2128.57,3249.03,464.44
Image Throughput (images/sec),0.68,0.23,1.31,0.31,0.47,0.52,0.57,0.64,0.77,0.91,0.93,1.27,0.18
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.46,-83.20,0.00,-82.82,-76.95,-75.78,-71.09,-64.45,-60.06,-56.13,-51.37,-25.14,10.97
Output Sequence Length (tokens),90.99,43.00,256.00,43.99,59.00,62.00,74.00,91.00,102.25,112.30,124.50,191.65,28.09
Output Token Count (tokens),90.99,43.00,256.00,43.99,59.00,62.00,74.00,91.00,102.25,112.30,124.50,191.65,28.09
Request Latency (ms),1577.77,764.97,4286.64,785.80,1074.89,1096.73,1294.36,1564.51,1768.78,1934.49,2128.57,3249.03,464.44
Usage Completion Tokens (tokens),90.99,43.00,256.00,43.99,59.00,62.00,74.00,91.00,102.25,112.30,124.50,191.65,28.09
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),985.99,938.00,1151.00,938.99,954.00,957.00,969.00,986.00,997.25,1007.30,1019.50,1086.65,28.09

Metric,Value
Benchmark Duration (sec),157.93
Maximum Response Timestamp (ns),1777060782027898112.00
Minimum Request Timestamp (ns),1777060624100664320.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),57.62
Request Count,100.00
Request Throughput (requests/sec),0.63
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9099.00
Total Output Tokens (tokens),9099.00
Total Token Throughput (tokens/sec),624.33
Total Usage Completion Tokens (tokens),9099.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98599.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,SM Utilization (%),33.89,0.00,36.00,3.36,18.80,35.00,35.00,36.00,36.00,36.00,36.00,36.00,6.24,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Power Usage (W),68.62,68.53,68.85,68.53,68.53,68.53,68.61,68.61,68.61,68.77,68.77,68.85,0.07,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Memory Used (GB),27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Temperature (°C),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Power Usage (W),55.49,55.25,55.73,55.25,55.25,55.43,55.49,55.49,55.49,55.56,55.56,55.56,0.08,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Temperature (°C),30.30,30.00,31.00,30.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,0.46,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Power Violation (us),0.00,,,,,,,,,,,,,localhost
