Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,1.11,1.22,1.25,0.43
HTTP Connection Overhead (ms),0.27,0.00,1.95,0.00,0.00,0.00,0.00,0.00,0.00,1.63,1.74,1.80,0.62
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),1.03,0.83,1.47,0.85,0.88,0.89,0.93,1.02,1.12,1.17,1.20,1.40,0.12
HTTP Data Sent (KB),359.10,282.79,502.39,282.97,283.04,283.14,318.33,332.10,332.33,502.26,502.30,502.35,82.27
HTTP DNS Lookup (ms),0.08,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.53,0.55,0.19
HTTP Duration (excl. conn) (ms),1870.00,1042.73,4059.17,1107.77,1162.84,1241.20,1445.48,1759.29,2171.84,2609.46,2825.01,3420.42,555.04
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.37,0.10,1.86,0.10,0.11,0.11,0.12,0.13,0.18,1.52,1.63,1.73,0.54
HTTP Total Time (ms),1870.25,1042.71,4060.81,1107.76,1162.83,1241.20,1445.47,1759.28,2173.02,2610.88,2826.61,3420.43,555.38
HTTP Waiting (TTFB) (ms),1869.61,1042.54,4057.51,1107.64,1162.70,1241.06,1445.34,1759.16,2170.79,2608.07,2823.45,3420.23,554.73
Image Latency (ms/image),1870.06,1042.78,4059.37,1107.80,1162.88,1241.25,1445.52,1759.33,2171.99,2609.62,2825.20,3420.46,555.07
Image Throughput (images/sec),0.58,0.25,0.96,0.29,0.35,0.38,0.46,0.57,0.69,0.81,0.86,0.90,0.16
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-63.75,-78.52,-28.91,-78.13,-75.78,-75.78,-71.19,-64.26,-57.62,-51.95,-49.96,-30.84,9.47
Output Sequence Length (tokens),92.81,55.00,182.00,55.99,62.00,62.00,73.75,91.50,108.50,123.00,128.10,177.05,24.24
Output Token Count (tokens),92.81,55.00,182.00,55.99,62.00,62.00,73.75,91.50,108.50,123.00,128.10,177.05,24.24
Request Latency (ms),1870.06,1042.78,4059.37,1107.80,1162.88,1241.25,1445.52,1759.33,2171.99,2609.62,2825.20,3420.46,555.07
Usage Completion Tokens (tokens),92.81,55.00,182.00,55.99,62.00,62.00,73.75,91.50,108.50,123.00,128.10,177.05,24.24
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),987.81,950.00,1077.00,950.99,957.00,957.00,968.75,986.50,1003.50,1018.00,1023.10,1072.05,24.24

Metric,Value
Benchmark Duration (sec),12.59
Maximum Response Timestamp (ns),1777059213743206656.00
Minimum Request Timestamp (ns),1777059201150850560.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),737.03
Request Count,100.00
Request Throughput (requests/sec),7.94
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9281.00
Total Output Tokens (tokens),9281.00
Total Token Throughput (tokens/sec),7844.52
Total Usage Completion Tokens (tokens),9281.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98781.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Power Usage (W),50.98,50.88,51.22,50.88,50.88,50.88,50.94,50.94,50.94,51.16,51.22,51.22,0.11,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Power Usage (W),55.43,55.18,55.73,55.21,55.25,55.25,55.25,55.49,55.56,55.56,55.59,55.71,0.15,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Power Violation (us),0.00,,,,,,,,,,,,,localhost
