Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,1.17,1.25,1.31,0.45
HTTP Connection Overhead (ms),0.28,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,1.70,1.79,1.89,0.65
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),1.05,0.85,1.76,0.85,0.89,0.89,0.95,1.03,1.10,1.19,1.24,1.76,0.16
HTTP Data Sent (KB),350.35,282.83,502.47,282.94,283.00,283.07,283.23,332.06,332.30,502.27,502.31,502.38,80.77
HTTP DNS Lookup (ms),0.09,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.56,0.59,0.20
HTTP Duration (excl. conn) (ms),851.28,423.09,2497.48,434.07,505.11,541.08,614.17,729.02,959.54,1372.57,1501.58,1826.19,354.29
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.37,0.10,1.89,0.10,0.11,0.11,0.12,0.13,0.17,1.58,1.67,1.76,0.55
HTTP Total Time (ms),851.55,423.08,2499.14,434.06,505.09,541.07,614.16,729.01,959.54,1374.23,1503.40,1826.20,354.75
HTTP Waiting (TTFB) (ms),850.89,422.96,2495.78,433.94,504.93,540.96,614.05,728.87,959.43,1370.92,1499.87,1826.06,353.88
Image Latency (ms/image),851.35,423.13,2497.67,434.11,505.15,541.12,614.21,729.06,959.59,1372.75,1501.77,1826.24,354.33
Image Throughput (images/sec),1.33,0.40,2.36,0.55,0.67,0.73,1.04,1.37,1.63,1.85,1.98,2.30,0.42
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-61.84,-77.73,0.00,-76.57,-76.17,-75.78,-69.24,-64.45,-58.20,-51.48,-45.70,0.00,13.70
Output Sequence Length (tokens),97.69,57.00,256.00,59.97,61.00,62.00,78.75,91.00,107.00,124.20,139.00,256.00,35.08
Output Token Count (tokens),97.69,57.00,256.00,59.97,61.00,62.00,78.75,91.00,107.00,124.20,139.00,256.00,35.08
Request Latency (ms),851.35,423.13,2497.67,434.11,505.15,541.12,614.21,729.06,959.59,1372.75,1501.77,1826.24,354.33
Usage Completion Tokens (tokens),97.69,57.00,256.00,59.97,61.00,62.00,78.75,91.00,107.00,124.20,139.00,256.00,35.08
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),992.69,952.00,1151.00,954.97,956.00,957.00,973.75,986.00,1002.00,1019.20,1034.00,1151.00,35.08

Metric,Value
Benchmark Duration (sec),5.63
Maximum Response Timestamp (ns),1777529626989349376.00
Minimum Request Timestamp (ns),1777529621354733824.00
OSL Mismatch Count,97.00
Output Token Throughput (tokens/sec),1733.75
Request Count,100.00
Request Throughput (requests/sec),17.75
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9769.00
Total Output Tokens (tokens),9769.00
Total Token Throughput (tokens/sec),17617.71
Total Usage Completion Tokens (tokens),9769.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99269.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,SM Utilization (%),14.25,0.00,33.00,0.00,0.00,0.50,4.25,13.50,23.75,28.50,30.75,32.55,11.28,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,GPU Power Usage (W),56.52,56.38,56.63,56.38,56.38,56.38,56.48,56.53,56.58,56.63,56.63,56.63,0.09,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,GPU Power Usage (W),56.91,56.88,57.01,56.88,56.88,56.88,56.88,56.88,56.95,56.95,56.96,57.00,0.04,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Power Violation (us),0.00,,,,,,,,,,,,,localhost
