Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,107.82,41.00,1007.00,51.89,56.00,61.90,72.75,89.00,100.50,123.00,203.50,661.49,113.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.21
HTTP Connection Overhead (ms),0.06,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,0.30
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),38.58,14.45,358.28,18.66,20.49,21.88,25.78,32.11,35.79,43.52,72.11,234.65,40.13
HTTP Data Sent (KB),361.55,283.00,502.46,283.04,283.07,283.10,318.29,332.14,374.84,502.31,502.37,502.43,82.96
HTTP DNS Lookup (ms),0.02,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.09
HTTP Duration (excl. conn) (ms),617.96,241.61,5510.32,326.28,337.53,354.35,425.30,513.20,587.70,709.10,1124.33,3611.04,613.21
HTTP Receiving (ms),564.45,192.21,5452.37,264.23,290.86,304.72,372.27,461.82,524.05,652.17,1075.58,3561.60,612.90
HTTP Sending (ms),0.18,0.10,1.52,0.10,0.10,0.10,0.11,0.12,0.13,0.15,0.18,1.51,0.27
HTTP Total Time (ms),618.02,241.61,5510.32,326.28,337.53,354.35,425.30,513.20,587.70,709.10,1124.33,3611.04,613.22
HTTP Waiting (TTFB) (ms),53.33,45.76,113.27,45.95,46.53,46.91,47.88,49.68,55.99,60.90,68.55,92.44,10.07
Image Latency (ms/image),612.34,236.56,5510.37,320.48,332.33,349.08,414.51,507.99,586.38,703.72,1119.18,3605.56,613.76
Image Throughput (images/sec),2.03,0.18,4.23,0.28,0.90,1.42,1.71,1.97,2.41,2.86,3.01,3.12,0.62
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),5.25,0.00,22.20,0.00,4.32,4.69,4.85,4.97,5.08,5.26,6.13,16.71,2.26
Inter Token Latency (ms),5.14,4.80,5.46,4.80,4.92,4.96,5.04,5.13,5.24,5.31,5.33,5.43,0.14
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-89.36,-96.09,0.00,-94.93,-94.34,-94.04,-92.97,-91.21,-90.19,-87.96,-80.02,-34.51,11.22
Output Sequence Length (tokens),108.94,40.00,1024.00,51.88,57.95,61.00,72.00,90.00,100.50,123.30,204.60,670.57,114.85
Output Token Count (tokens),108.94,40.00,1024.00,51.88,57.95,61.00,72.00,90.00,100.50,123.30,204.60,670.57,114.85
Output Token Throughput Per User (tokens/sec/user),194.87,183.20,208.44,184.26,187.61,188.30,190.68,195.07,198.54,201.69,203.25,208.14,5.23
Prefill Throughput Per User (tokens/sec/user),17118.08,7783.24,19495.34,9513.09,12999.73,14656.02,15931.82,17950.57,18628.20,19003.09,19176.64,19402.83,2209.12
Request Latency (ms),612.34,236.56,5510.37,320.48,332.33,349.08,414.51,507.99,586.38,703.72,1119.18,3605.56,613.76
Time to First Output Token (ms),53.56,45.91,114.99,46.13,46.67,47.10,48.05,49.86,56.18,61.07,68.85,94.12,10.31
Time to First Token (ms),53.56,45.91,114.99,46.13,46.67,47.10,48.05,49.86,56.18,61.07,68.85,94.12,10.31
Time to Second Token (ms),3.47,0.00,22.20,0.00,0.00,0.00,0.00,1.50,4.51,11.99,14.83,21.58,5.04
Usage Completion Tokens (tokens),108.94,40.00,1024.00,51.88,57.95,61.00,72.00,90.00,100.50,123.30,204.60,670.57,114.85
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1003.94,935.00,1919.00,946.88,952.95,956.00,967.00,985.00,995.50,1018.30,1099.60,1565.57,114.85

Metric,Value
Benchmark Duration (sec),15.74
Maximum Response Timestamp (ns),1777346573813398784.00
Minimum Request Timestamp (ns),1777346558076340480.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),692.25
Request Count,100.00
Request Throughput (requests/sec),6.35
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),10894.00
Total Output Tokens (tokens),10894.00
Total Token Throughput (tokens/sec),6379.46
Total Usage Completion Tokens (tokens),10894.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),100394.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),55.26,55.12,55.43,55.12,55.18,55.18,55.18,55.18,55.39,55.43,55.43,55.43,0.11,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),55.89,55.73,55.95,55.79,55.88,55.88,55.88,55.88,55.88,55.95,55.95,55.95,0.04,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
