Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.02,0.00,59.84,0.00,0.00,0.00,0.00,0.00,1.29,1.41,1.48,2.31,5.94
HTTP Connection Overhead (ms),1.22,0.00,60.48,0.00,0.00,0.00,0.00,0.00,1.90,2.05,2.17,2.91,6.03
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),0.89,0.82,0.93,0.84,0.86,0.87,0.88,0.89,0.90,0.91,0.91,0.92,0.02
HTTP Data Sent (KB),359.34,282.88,502.40,282.99,283.08,283.14,318.33,332.09,332.35,502.26,502.31,502.36,82.08
HTTP DNS Lookup (ms),0.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.53,0.66,0.68,0.78,0.29
HTTP Duration (excl. conn) (ms),1478.86,1119.79,2004.10,1164.17,1200.95,1270.01,1297.36,1354.71,1640.03,1931.33,1944.73,1995.01,247.10
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.28,0.10,60.26,0.11,0.12,0.12,0.14,0.18,1.73,1.87,1.93,2.89,5.98
HTTP Total Time (ms),1480.06,1119.77,2054.56,1164.16,1200.94,1270.00,1297.35,1354.70,1641.89,1933.46,1946.64,2006.21,249.21
HTTP Waiting (TTFB) (ms),1477.56,1119.61,2002.49,1164.06,1200.83,1269.86,1297.22,1354.50,1638.13,1929.48,1942.60,1993.07,245.24
Image Latency (ms/image),1478.95,1119.84,2004.28,1164.21,1201.00,1270.05,1297.41,1354.76,1640.22,1931.52,1944.92,1995.24,247.17
Image Throughput (images/sec),0.69,0.50,0.89,0.50,0.51,0.52,0.61,0.74,0.77,0.79,0.83,0.86,0.10
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.67,-18.75,0.00,-14.11,-4.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.74
Output Sequence Length (tokens),63.57,52.00,64.00,54.97,61.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.75
Output Token Count (tokens),63.57,52.00,64.00,54.97,61.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.75
Request Latency (ms),1478.95,1119.84,2004.28,1164.21,1201.00,1270.05,1297.41,1354.76,1640.22,1931.52,1944.92,1995.24,247.17
Usage Completion Tokens (tokens),63.57,52.00,64.00,54.97,61.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.75
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.57,947.00,959.00,949.97,956.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,1.75

Metric,Value
Benchmark Duration (sec),5.35
Maximum Response Timestamp (ns),1777275670914806528.00
Minimum Request Timestamp (ns),1777275665565019136.00
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),1188.27
Request Count,100.00
Request Throughput (requests/sec),18.69
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6357.00
Total Output Tokens (tokens),6357.00
Total Token Throughput (tokens/sec),17917.91
Total Usage Completion Tokens (tokens),6357.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95857.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Power Usage (W),52.79,52.68,52.92,52.68,52.68,52.71,52.74,52.80,52.80,52.88,52.92,52.92,0.07,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Power Usage (W),47.68,47.60,47.71,47.60,47.60,47.60,47.66,47.71,47.71,47.71,47.71,47.71,0.05,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Power Violation (us),0.00,,,,,,,,,,,,,localhost
