Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,86.85,48.00,162.00,48.99,58.00,61.90,72.00,89.50,97.00,108.20,114.00,127.35,18.72
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.22
HTTP Connection Overhead (ms),0.07,0.00,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.68,0.32
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),31.29,17.31,58.48,17.66,21.14,22.26,26.09,32.30,34.94,39.23,40.59,45.28,6.70
HTTP Data Sent (KB),354.83,282.74,502.40,282.99,283.07,283.21,318.33,318.53,332.32,502.28,502.32,502.40,77.58
HTTP DNS Lookup (ms),0.02,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.10
HTTP Duration (excl. conn) (ms),512.56,293.62,913.22,309.85,364.75,374.57,435.07,525.87,566.96,635.42,662.95,719.56,101.80
HTTP Receiving (ms),460.11,245.38,863.88,262.13,311.16,323.29,383.85,473.39,514.38,581.23,604.28,666.98,100.40
HTTP Sending (ms),0.17,0.10,1.57,0.10,0.10,0.10,0.10,0.11,0.11,0.14,0.16,1.57,0.28
HTTP Total Time (ms),512.63,293.62,913.22,309.85,364.75,374.57,435.07,525.87,566.96,635.42,663.03,721.23,101.88
HTTP Waiting (TTFB) (ms),52.28,46.14,112.33,46.31,46.73,47.10,48.28,49.58,51.52,56.81,66.23,91.83,9.47
Image Latency (ms/image),506.51,288.58,902.66,304.67,359.23,369.28,429.90,520.59,560.98,630.39,657.07,713.80,101.84
Image Throughput (images/sec),2.06,1.11,3.47,1.40,1.52,1.59,1.78,1.92,2.33,2.71,2.78,3.28,0.43
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),5.30,0.00,21.17,0.00,3.96,4.63,4.83,4.95,5.07,5.37,10.09,16.60,2.49
Inter Token Latency (ms),5.20,4.93,5.59,4.96,5.00,5.04,5.15,5.21,5.28,5.33,5.37,5.43,0.12
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-65.54,-80.86,-35.16,-80.47,-76.95,-75.78,-71.48,-64.06,-61.33,-56.60,-55.47,-50.24,7.44
Output Sequence Length (tokens),88.22,49.00,166.00,49.99,59.00,62.00,73.00,92.00,99.00,111.10,114.00,127.39,19.05
Output Token Count (tokens),88.22,49.00,166.00,49.99,59.00,62.00,73.00,92.00,99.00,111.10,114.00,127.39,19.05
Output Token Throughput Per User (tokens/sec/user),192.30,178.79,202.71,184.26,186.33,187.76,189.40,191.80,194.26,198.26,199.92,201.77,4.29
Prefill Throughput Per User (tokens/sec/user),17404.03,7847.06,19340.11,9565.06,13478.24,15714.63,17317.83,17992.70,18482.38,18939.14,19094.15,19259.79,2000.73
Request Latency (ms),506.51,288.58,902.66,304.67,359.23,369.28,429.90,520.59,560.98,630.39,657.07,713.80,101.84
Time to First Output Token (ms),52.51,46.28,114.06,46.47,46.87,47.26,48.42,49.74,51.68,56.95,66.42,93.61,9.74
Time to First Token (ms),52.51,46.28,114.06,46.47,46.87,47.26,48.42,49.74,51.68,56.95,66.42,93.61,9.74
Time to Second Token (ms),3.08,0.00,21.17,0.00,0.00,0.00,0.00,1.21,4.81,9.86,13.04,21.03,4.78
Usage Completion Tokens (tokens),88.22,49.00,166.00,49.99,59.00,62.00,73.00,92.00,99.00,111.10,114.00,127.39,19.05
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),983.22,944.00,1061.00,944.99,954.00,957.00,968.00,987.00,994.00,1006.10,1009.00,1022.39,19.05

Metric,Value
Benchmark Duration (sec),13.18
Maximum Response Timestamp (ns),1777346388165478656.00
Minimum Request Timestamp (ns),1777346374983515904.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),669.25
Request Count,100.00
Request Throughput (requests/sec),7.59
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),8822.00
Total Output Tokens (tokens),8822.00
Total Token Throughput (tokens/sec),7458.83
Total Usage Completion Tokens (tokens),8822.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98322.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),55.18,55.12,55.43,55.12,55.12,55.12,55.18,55.18,55.18,55.18,55.20,55.36,0.05,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),55.85,55.60,55.95,55.62,55.66,55.66,55.88,55.88,55.88,55.88,55.95,55.95,0.08,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
