Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),3.19,0.00,21.01,0.00,0.00,0.00,0.00,0.00,4.98,12.65,14.71,19.33,5.29
HTTP Connection Overhead (ms),6.07,0.00,41.20,0.00,0.00,0.00,0.00,0.00,8.89,24.50,28.51,37.94,10.18
HTTP Connection Reused (ratio),0.66,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.62,1.30,3.20,1.33,1.35,1.35,1.35,1.35,1.51,2.51,2.63,3.07,0.49
HTTP Data Sent (KB),9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,0.00
HTTP DNS Lookup (ms),2.87,0.00,20.19,0.00,0.00,0.00,0.00,0.00,3.98,11.86,13.30,18.61,4.90
HTTP Duration (excl. conn) (ms),7454.26,1853.23,12107.04,2004.79,2875.44,4669.88,5362.34,7674.85,9824.83,10547.59,11327.07,11759.54,2537.72
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),4.87,0.50,22.94,0.53,0.55,0.57,0.62,0.80,9.65,14.91,17.22,21.91,6.27
HTTP Total Time (ms),7460.31,1853.22,12148.19,2004.77,2875.43,4669.86,5362.33,7674.84,9842.78,10561.63,11349.91,11769.26,2542.64
HTTP Waiting (TTFB) (ms),7449.37,1852.59,12084.05,2004.13,2874.68,4669.24,5361.76,7674.28,9809.31,10535.01,11311.56,11749.18,2534.10
Image Latency (ms/image),7454.43,1853.30,12107.38,2004.86,2875.53,4669.96,5362.41,7674.91,9825.14,10548.00,11327.42,11759.93,2537.81
Image Throughput (images/sec),0.16,0.08,0.54,0.09,0.09,0.09,0.10,0.13,0.19,0.22,0.35,0.50,0.09
Input Sequence Length (tokens),5425.89,5425.00,5426.00,5425.00,5425.00,5425.40,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.31
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),197.33,136.00,508.00,144.46,146.70,147.00,147.00,147.00,180.00,368.80,383.70,467.58,91.46
Output Token Count (tokens),197.33,136.00,508.00,144.46,146.70,147.00,147.00,147.00,180.00,368.80,383.70,467.58,91.46
Request Latency (ms),7454.43,1853.30,12107.38,2004.86,2875.53,4669.96,5362.41,7674.91,9825.14,10548.00,11327.42,11759.93,2537.81
Usage Completion Tokens (tokens),197.33,136.00,508.00,144.46,146.70,147.00,147.00,147.00,180.00,368.80,383.70,467.58,91.46
Usage Prompt Tokens (tokens),5425.89,5425.00,5426.00,5425.00,5425.00,5425.40,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.31
Usage Total Tokens (tokens),5623.22,5562.00,5934.00,5570.46,5572.00,5573.00,5573.00,5573.00,5605.50,5794.40,5809.70,5893.58,91.42

Metric,Value
Benchmark Duration (sec),24.17
Error Request Count,5.00
Maximum Response Timestamp (ns),1777531057422445824.00
Minimum Request Timestamp (ns),1777531033256695040.00
Output Token Throughput (tokens/sec),775.73
Request Count,95.00
Request Throughput (requests/sec),3.93
Total Input Sequence Length (tokens),515460.00
Total Output Sequence Length (tokens),18746.00
Total Output Tokens (tokens),18746.00
Total Token Throughput (tokens/sec),22105.91
Total Usage Completion Tokens (tokens),18746.00
Total Usage Prompt Tokens (tokens),515460.00
Total Usage Total Tokens (tokens),534206.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,SM Utilization (%),39.91,0.00,68.00,0.00,0.00,4.00,24.25,53.00,57.00,62.00,64.50,66.70,22.12,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,GPU Power Usage (W),56.40,56.25,56.63,56.25,56.25,56.32,56.32,56.38,56.49,56.56,56.56,56.63,0.11,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-3af82491-9347-0b40-3288-2aa5f486ef2f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,GPU Power Usage (W),56.92,56.81,57.01,56.81,56.83,56.88,56.88,56.95,56.95,56.95,56.95,57.01,0.05,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,GPU Temperature (°C),29.61,29.00,30.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,30.00,0.49,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-423c4bf0-e55a-339b-4a41-06c35b77e475,Power Violation (us),0.00,,,,,,,,,,,,,localhost
