Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,63.23,11.00,65.00,50.60,59.85,63.00,64.00,64.00,65.00,65.00,65.00,65.00,5.76
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,1.18,0.30
HTTP Connection Overhead (ms),0.13,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.56,1.71,0.44
HTTP Connection Reused (ratio),0.92,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.27
HTTP Data Received (KB),22.43,4.27,22.97,17.87,21.15,22.57,22.60,22.92,22.95,22.96,22.97,22.97,2.00
HTTP Data Sent (KB),364.55,282.90,502.54,282.95,283.00,283.10,318.37,332.22,502.12,502.31,502.39,502.45,85.54
HTTP DNS Lookup (ms),0.04,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.53,0.14
HTTP Duration (excl. conn) (ms),433.13,163.32,607.43,302.58,366.48,397.81,419.70,429.88,447.17,462.09,543.05,594.51,54.69
HTTP Receiving (ms),346.32,112.90,422.94,243.07,303.32,320.25,336.75,352.35,364.46,377.20,383.04,405.91,36.13
HTTP Sending (ms),0.24,0.10,1.62,0.10,0.10,0.10,0.10,0.12,0.14,0.21,1.50,1.61,0.38
HTTP Total Time (ms),433.26,163.32,609.05,302.58,366.48,397.81,419.70,429.88,447.17,462.09,544.76,596.05,55.00
HTTP Waiting (TTFB) (ms),86.57,48.91,250.54,49.03,50.29,54.40,63.31,79.21,92.38,111.36,140.82,248.64,41.09
Image Latency (ms/image),428.23,142.74,582.35,297.47,366.52,390.56,410.81,426.86,441.12,461.88,543.02,563.95,54.03
Image Throughput (images/sec),2.39,1.72,7.01,1.77,1.84,2.17,2.27,2.34,2.43,2.56,2.73,3.38,0.53
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),5.56,0.00,106.55,1.30,4.49,4.58,4.69,4.81,4.93,5.13,11.78,22.24,4.02
Inter Token Latency (ms),5.52,4.69,7.69,4.72,4.91,4.98,5.29,5.47,5.73,5.99,6.10,6.72,0.43
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-1.66,-79.69,0.00,-22.45,-7.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.61
Output Sequence Length (tokens),62.94,13.00,64.00,49.63,59.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,5.51
Output Token Count (tokens),62.94,13.00,64.00,49.63,59.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,5.51
Output Token Throughput Per User (tokens/sec/user),182.02,130.04,213.05,148.85,163.82,167.07,174.67,182.91,189.05,200.93,203.74,211.71,13.15
Prefill Throughput Per User (tokens/sec/user),11691.77,3547.52,18244.08,3575.61,6376.65,8018.08,9671.18,11277.27,14099.57,16408.57,17741.17,18201.19,3433.58
Request Latency (ms),428.23,142.74,582.35,297.47,366.52,390.56,410.81,426.86,441.12,461.88,543.02,563.95,54.03
Time to First Output Token (ms),86.86,49.06,252.29,49.17,50.45,54.54,63.48,79.38,92.54,111.62,142.60,250.31,41.44
Time to First Token (ms),86.86,49.06,252.29,49.17,50.45,54.54,63.48,79.38,92.54,111.62,142.60,250.31,41.44
Time to Second Token (ms),13.71,0.00,106.49,0.00,0.22,2.16,4.76,12.44,16.90,24.44,28.20,106.46,15.75
Usage Completion Tokens (tokens),62.94,13.00,64.00,49.63,59.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,5.51
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),957.94,908.00,959.00,944.63,954.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,5.51

Metric,Value
Benchmark Duration (sec),5.66
Maximum Response Timestamp (ns),1777346239323084544.00
Minimum Request Timestamp (ns),1777346233666658560.00
OSL Mismatch Count,6.00
Output Token Throughput (tokens/sec),1112.72
Request Count,100.00
Request Throughput (requests/sec),17.68
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6294.00
Total Output Tokens (tokens),6294.00
Total Token Throughput (tokens/sec),16935.43
Total Usage Completion Tokens (tokens),6294.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95794.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),55.17,55.05,55.36,55.06,55.10,55.12,55.12,55.18,55.18,55.22,55.28,55.34,0.07,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),55.86,55.81,55.95,55.81,55.81,55.81,55.81,55.88,55.88,55.88,55.90,55.94,0.04,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
