Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.54,1.12,1.80,77.04,1.14,1.20,1.24,1.31,1.63,1.75,1.78,1.79,1.80,0.22
HTTP Data Sent (KB),376.03,282.86,502.50,18801.28,282.92,283.02,283.13,318.51,332.21,502.21,502.31,502.38,502.45,88.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1371.81,1333.04,1457.94,68590.33,1338.13,1344.92,1348.04,1355.92,1364.91,1376.32,1402.91,1448.56,1457.68,29.24
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.11,0.09,0.18,5.29,0.09,0.09,0.09,0.10,0.10,0.11,0.12,0.15,0.17,0.02
HTTP Total Time (ms),1371.79,1333.02,1457.92,68589.64,1338.12,1344.91,1348.03,1355.90,1364.90,1376.30,1402.89,1448.54,1457.66,29.24
HTTP Waiting (TTFB) (ms),1371.69,1332.93,1457.80,68584.36,1338.03,1344.81,1347.90,1355.75,1364.79,1376.20,1402.78,1448.40,1457.55,29.23
Image Latency (ms/image),1371.85,1333.07,1457.99,68592.45,1338.17,1344.96,1348.09,1355.97,1364.95,1376.36,1402.95,1448.60,1457.72,29.24
Image Throughput (images/sec),0.73,0.69,0.75,36.46,0.69,0.69,0.71,0.73,0.73,0.74,0.74,0.74,0.75,0.01
Input Sequence Length (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),1371.85,1333.07,1457.99,68592.45,1338.17,1344.96,1348.09,1355.97,1364.95,1376.36,1402.95,1448.60,1457.72,29.24
Usage Completion Tokens (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1151.00,1151.00,1151.00,57550.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,0.00

Metric,Value
Benchmark Duration (sec),17.86
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),716.63
Request Count,50.00
Request Throughput (requests/sec),2.80
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),12800.00
Total Output Tokens (tokens),12800.00
Total Token Throughput (tokens/sec),3222.05
Total Usage Completion Tokens (tokens),12800.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),57550.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Decoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Power Usage (W),33.35,32.94,33.44,,33.08,33.24,33.33,33.34,33.34,33.38,33.43,33.43,33.44,0.08,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Memory Used (GB),0.54,0.54,0.54,,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Temperature (°C),30.00,30.00,30.00,,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Memory Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Decoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
