Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.21
HTTP Connection Overhead (ms),0.06,0.00,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.31
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),1.00,0.74,1.52,0.74,0.81,0.88,0.92,1.00,1.07,1.10,1.14,1.22,0.11
HTTP Data Sent (KB),359.40,282.94,502.37,282.94,283.05,283.09,283.22,331.92,501.95,502.27,502.31,502.35,86.68
HTTP DNS Lookup (ms),0.02,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.10
HTTP Duration (excl. conn) (ms),1769.57,929.48,3833.99,947.59,1163.96,1285.84,1501.18,1779.46,2018.22,2177.52,2235.88,2966.45,414.61
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.17,0.10,1.55,0.10,0.10,0.11,0.11,0.11,0.12,0.13,0.22,1.51,0.27
HTTP Total Time (ms),1769.63,929.47,3833.98,947.58,1163.96,1285.83,1501.17,1779.45,2018.21,2177.51,2235.87,2966.44,414.67
HTTP Waiting (TTFB) (ms),1769.39,929.35,3833.87,947.45,1163.83,1285.71,1501.05,1779.31,2018.11,2177.40,2235.75,2966.33,414.54
Image Latency (ms/image),1769.62,929.52,3834.03,947.62,1164.00,1285.88,1501.22,1779.50,2018.26,2177.56,2235.91,2966.48,414.61
Image Throughput (images/sec),0.60,0.26,1.08,0.34,0.45,0.46,0.50,0.56,0.67,0.78,0.86,1.06,0.14
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-65.97,-84.77,-19.92,-84.38,-80.47,-76.56,-71.88,-65.23,-60.55,-56.25,-55.47,-41.19,9.16
Output Sequence Length (tokens),87.12,39.00,205.00,39.99,50.00,60.00,72.00,89.00,101.00,112.00,114.00,150.55,23.44
Output Token Count (tokens),87.12,39.00,205.00,39.99,50.00,60.00,72.00,89.00,101.00,112.00,114.00,150.55,23.44
Request Latency (ms),1769.62,929.52,3834.03,947.62,1164.00,1285.88,1501.22,1779.50,2018.26,2177.56,2235.91,2966.48,414.61
Usage Completion Tokens (tokens),87.12,39.00,205.00,39.99,50.00,60.00,72.00,89.00,101.00,112.00,114.00,150.55,23.44
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),982.12,934.00,1100.00,934.99,945.00,955.00,967.00,984.00,996.00,1007.00,1009.00,1045.55,23.44

Metric,Value
Benchmark Duration (sec),45.23
Maximum Response Timestamp (ns),1777336384941787648.00
Minimum Request Timestamp (ns),1777336339709495808.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),192.61
Request Count,100.00
Request Throughput (requests/sec),2.21
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),8712.00
Total Output Tokens (tokens),8712.00
Total Token Throughput (tokens/sec),2171.28
Total Usage Completion Tokens (tokens),8712.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98212.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,GPU Power Usage (W),77.07,70.34,182.61,70.34,70.34,70.42,70.49,70.57,70.66,80.43,122.90,174.12,21.09,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,GPU Utilization (%),4.25,0.00,30.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,19.75,20.00,6.29,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,GPU Temperature (°C),32.92,32.00,34.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,33.00,34.00,0.39,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,Memory Utilization (%),1.29,0.00,10.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,6.00,6.00,1.94,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,SM Utilization (%),3.21,0.00,4.00,0.00,0.00,1.00,3.00,4.00,4.00,4.00,4.00,4.00,1.24,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,GPU Power Usage (W),85.76,59.10,91.89,64.47,83.02,83.39,84.68,86.16,87.33,88.61,89.87,91.57,3.98,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,GPU Utilization (%),37.56,0.00,41.00,0.00,35.00,36.00,38.00,39.00,40.00,40.00,40.00,40.75,6.08,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,GPU Memory Used (GB),27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,GPU Temperature (°C),30.89,29.00,31.00,29.25,30.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.36,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,Memory Utilization (%),14.71,0.00,16.00,0.00,14.00,14.00,15.00,15.00,15.00,16.00,16.00,16.00,2.39,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,SM Utilization (%),30.90,0.00,38.00,0.00,4.25,10.50,28.25,37.00,38.00,38.00,38.00,38.00,11.39,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-6359580d-040c-a6f4-56e9-cbf2ad038701,Power Violation (us),0.00,,,,,,,,,,,,,localhost
