Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.72,0.00,30.12,0.00,0.00,0.00,0.00,0.00,1.22,1.42,1.58,1.97,3.02
HTTP Connection Overhead (ms),0.92,0.00,30.73,0.00,0.00,0.00,0.00,0.00,1.80,2.01,2.34,2.69,3.13
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.06,0.62,5.22,0.82,0.89,0.90,0.94,1.02,1.08,1.15,1.17,1.61,0.43
HTTP Data Sent (KB),375.69,282.76,502.50,282.88,283.01,283.12,318.28,332.17,502.17,502.32,502.36,502.42,92.39
HTTP DNS Lookup (ms),0.20,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.56,0.62,0.67,0.76,0.29
HTTP Duration (excl. conn) (ms),2068.38,741.76,18341.89,1026.45,1247.56,1403.56,1594.48,1908.03,2101.92,2436.34,2763.13,4006.05,1700.22
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.99,0.11,30.68,0.11,0.12,0.13,0.14,0.18,1.68,1.94,2.14,2.63,3.09
HTTP Total Time (ms),2069.28,743.48,18343.69,1026.46,1247.55,1403.55,1594.46,1908.01,2101.91,2463.96,2764.91,4006.05,1700.48
HTTP Waiting (TTFB) (ms),2067.37,740.13,18340.04,1026.23,1247.40,1403.36,1594.29,1907.85,2101.77,2408.68,2761.34,4005.90,1699.98
Image Latency (ms/image),2068.48,741.99,18342.08,1026.51,1247.60,1403.62,1594.53,1908.08,2101.96,2436.51,2763.33,4006.10,1700.23
Image Throughput (images/sec),0.55,0.05,1.35,0.26,0.36,0.41,0.48,0.52,0.63,0.71,0.80,0.98,0.16
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-90.17,-99.22,0.00,-94.96,-93.95,-93.56,-92.68,-90.97,-89.89,-88.77,-87.19,-78.99,9.36
Output Sequence Length (tokens),100.71,8.00,1024.00,51.56,62.00,65.90,75.00,92.50,103.50,115.00,131.15,215.17,95.85
Output Token Count (tokens),100.71,8.00,1024.00,51.56,62.00,65.90,75.00,92.50,103.50,115.00,131.15,215.17,95.85
Request Latency (ms),2068.48,741.99,18342.08,1026.51,1247.60,1403.62,1594.53,1908.08,2101.96,2436.51,2763.33,4006.10,1700.23
Usage Completion Tokens (tokens),100.71,8.00,1024.00,51.56,62.00,65.90,75.00,92.50,103.50,115.00,131.15,215.17,95.85
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),995.71,903.00,1919.00,946.56,957.00,960.90,970.00,987.50,998.50,1010.00,1026.15,1110.17,95.85

Metric,Value
Benchmark Duration (sec),18.34
Maximum Response Timestamp (ns),1777059631807957760.00
Minimum Request Timestamp (ns),1777059613465379584.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),549.05
Request Count,100.00
Request Throughput (requests/sec),5.45
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),10071.00
Total Output Tokens (tokens),10071.00
Total Token Throughput (tokens/sec),5428.41
Total Usage Completion Tokens (tokens),10071.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99571.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Power Usage (W),50.97,50.82,51.22,50.82,50.91,50.94,50.94,50.94,50.94,51.16,51.22,51.22,0.10,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-164bff1d-ead2-c347-505c-24c55b1220ce,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Power Usage (W),55.48,55.25,55.73,55.25,55.28,55.31,55.43,55.49,55.56,55.56,55.56,55.70,0.11,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-8d98e41f-fa7d-9369-6a9c-bc32f7fe9359,Power Violation (us),0.00,,,,,,,,,,,,,localhost
