Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,1.13,1.18,1.38,0.44
HTTP Connection Overhead (ms),0.27,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,1.61,1.68,2.01,0.63
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),1.02,0.81,1.70,0.81,0.85,0.89,0.93,1.02,1.07,1.12,1.17,1.67,0.15
HTTP Data Sent (KB),358.53,283.00,502.38,283.02,283.09,283.13,318.26,332.08,332.35,502.25,502.29,502.33,82.72
HTTP DNS Lookup (ms),0.08,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.51,0.62,0.19
HTTP Duration (excl. conn) (ms),1378.64,541.31,2646.60,623.41,751.15,804.75,1049.64,1392.62,1581.85,2004.89,2076.51,2189.76,417.54
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.38,0.10,1.99,0.11,0.12,0.13,0.13,0.14,0.18,1.52,1.59,1.91,0.54
HTTP Total Time (ms),1378.90,541.29,2646.59,623.40,751.14,804.73,1050.00,1392.61,1581.84,2006.47,2078.04,2191.42,417.83
HTTP Waiting (TTFB) (ms),1378.25,541.10,2646.46,623.27,751.01,804.60,1049.37,1392.49,1581.72,2003.30,2075.00,2188.14,417.29
Image Latency (ms/image),1378.71,541.36,2646.64,623.47,751.19,804.79,1049.72,1392.66,1581.90,2005.06,2076.68,2189.94,417.57
Image Throughput (images/sec),0.81,0.38,1.85,0.46,0.48,0.50,0.63,0.72,0.95,1.24,1.33,1.60,0.29
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.18,-80.47,0.00,-80.08,-77.73,-75.78,-71.09,-64.06,-60.94,-55.82,-54.00,-6.57,12.36
Output Sequence Length (tokens),91.70,50.00,256.00,50.99,57.00,62.00,74.00,92.00,100.00,113.10,117.75,239.17,31.63
Output Token Count (tokens),91.70,50.00,256.00,50.99,57.00,62.00,74.00,92.00,100.00,113.10,117.75,239.17,31.63
Request Latency (ms),1378.71,541.36,2646.64,623.47,751.19,804.79,1049.72,1392.66,1581.90,2005.06,2076.68,2189.94,417.57
Usage Completion Tokens (tokens),91.70,50.00,256.00,50.99,57.00,62.00,74.00,92.00,100.00,113.10,117.75,239.17,31.63
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),986.70,945.00,1151.00,945.99,952.00,957.00,969.00,987.00,995.00,1008.10,1012.75,1134.17,31.63

Metric,Value
Benchmark Duration (sec),9.56
Maximum Response Timestamp (ns),1777569454006622720.00
Minimum Request Timestamp (ns),1777569444449972736.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),959.54
Request Count,100.00
Request Throughput (requests/sec),10.46
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9170.00
Total Output Tokens (tokens),9170.00
Total Token Throughput (tokens/sec),10324.75
Total Usage Completion Tokens (tokens),9170.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98670.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Power Usage (W),197.83,72.11,225.63,72.11,89.91,169.81,203.98,207.93,216.14,222.97,224.63,225.49,40.18,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Utilization (%),90.26,0.00,100.00,0.00,11.10,74.80,100.00,100.00,100.00,100.00,100.00,100.00,28.69,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Temperature (°C),36.78,31.00,38.00,31.00,31.60,34.20,36.50,38.00,38.00,38.00,38.00,38.00,2.04,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Memory Utilization (%),48.67,0.00,58.00,0.00,6.30,34.80,52.00,54.00,55.50,57.00,57.70,58.00,15.65,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,SM Utilization (%),28.19,0.00,60.00,0.00,0.30,2.80,11.00,28.00,44.50,54.20,57.40,59.48,19.33,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Power Usage (W),51.90,51.80,52.22,51.80,51.80,51.80,51.86,51.86,51.86,52.06,52.18,52.22,0.11,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Temperature (°C),28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Power Violation (us),0.00,,,,,,,,,,,,,localhost
