Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,96.51,13.00,1024.00,28.84,50.00,59.90,67.25,88.00,102.50,115.20,122.20,214.18,96.70
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.23
HTTP Connection Overhead (ms),0.07,0.00,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.33
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),24.83,3.79,257.78,7.78,13.11,15.63,17.46,22.69,26.37,29.58,31.35,54.46,24.29
HTTP Data Sent (KB),365.54,282.83,502.40,282.95,283.03,283.14,283.36,332.12,502.19,502.32,502.36,502.38,89.25
HTTP DNS Lookup (ms),0.02,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.10
HTTP Duration (excl. conn) (ms),1728.57,286.34,17333.96,545.90,943.80,1107.44,1268.37,1578.68,1865.20,2030.44,2186.38,3691.48,1630.31
HTTP Receiving (ms),1633.53,203.14,17252.76,463.17,857.30,1009.47,1143.13,1469.81,1762.38,1934.39,2106.47,3590.27,1631.97
HTTP Sending (ms),0.17,0.09,1.73,0.10,0.10,0.10,0.10,0.11,0.12,0.13,0.17,1.58,0.29
HTTP Total Time (ms),1728.63,286.34,17333.96,545.90,943.80,1107.44,1268.37,1578.68,1865.20,2030.44,2186.38,3691.48,1630.30
HTTP Waiting (TTFB) (ms),94.86,77.98,234.26,79.31,81.45,82.48,83.84,87.98,96.30,101.93,114.52,216.73,25.90
Image Latency (ms/image),1710.92,268.81,17334.02,528.49,925.19,1089.61,1251.24,1561.14,1844.47,2013.15,2168.87,3674.51,1632.01
Image Throughput (images/sec),0.72,0.06,3.72,0.28,0.46,0.50,0.54,0.64,0.80,0.92,1.08,1.90,0.38
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),17.10,5.02,34.55,12.59,16.23,16.35,16.52,16.79,17.50,18.32,18.76,24.06,1.44
Inter Token Latency (ms),16.88,15.46,18.28,16.01,16.34,16.47,16.55,16.64,16.94,17.91,18.11,18.23,0.57
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-90.58,-98.73,0.00,-97.18,-95.12,-94.15,-93.43,-91.41,-89.99,-88.75,-88.07,-79.08,9.44
Output Sequence Length (tokens),96.51,13.00,1024.00,28.84,50.00,59.90,67.25,88.00,102.50,115.20,122.20,214.18,96.70
Output Token Count (tokens),96.51,13.00,1024.00,28.84,50.00,59.90,67.25,88.00,102.50,115.20,122.20,214.18,96.70
Output Token Throughput Per User (tokens/sec/user),59.32,54.71,64.66,54.86,55.22,55.84,59.02,60.10,60.42,60.73,61.19,62.47,1.95
Prefill Throughput Per User (tokens/sec/user),9782.79,3788.85,11448.19,4097.75,7806.15,8768.02,9280.29,10155.66,10654.31,10830.71,10967.86,11263.20,1413.82
Request Latency (ms),1710.92,268.81,17334.02,528.49,925.19,1089.61,1251.24,1561.14,1844.47,2013.15,2168.87,3674.51,1632.01
Time to First Output Token (ms),95.09,78.18,236.22,79.46,81.60,82.64,84.00,88.13,96.45,102.08,114.68,218.43,26.20
Time to First Token (ms),95.09,78.18,236.22,79.46,81.60,82.64,84.00,88.13,96.45,102.08,114.68,218.43,26.20
Time to Second Token (ms),16.74,9.25,25.74,9.31,15.82,16.00,16.28,16.62,17.40,17.92,18.51,22.25,1.83
Usage Completion Tokens (tokens),96.51,13.00,1024.00,28.84,50.00,59.90,67.25,88.00,102.50,115.20,122.20,214.18,96.70
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),991.51,908.00,1919.00,923.84,945.00,954.90,962.25,983.00,997.50,1010.20,1017.20,1109.18,96.70

Metric,Value
Benchmark Duration (sec),44.36
Maximum Response Timestamp (ns),1777348133284083712.00
Minimum Request Timestamp (ns),1777348088925529344.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),217.57
Request Count,100.00
Request Throughput (requests/sec),2.25
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9651.00
Total Output Tokens (tokens),9651.00
Total Token Throughput (tokens/sec),2235.22
Total Usage Completion Tokens (tokens),9651.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99151.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),55.44,55.36,55.49,55.43,55.43,55.43,55.43,55.43,55.43,55.49,55.49,55.49,0.03,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),56.11,55.95,56.18,55.95,55.95,55.95,55.95,56.18,56.18,56.18,56.18,56.18,0.10,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
