=== Unique GPU telemetry hosts for concurrency=4 ===
    140 nid008560
    140 nid008561

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008560,2026/05/03 16:06:43.738, 0, GPU-54819be7-1194-d7c8-6144-290abb9c31bd, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 94.57, 32
nid008560,2026/05/03 16:06:43.740, 1, GPU-8050c628-f086-6a63-afa4-011f4ba35042, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.26, 30
nid008560,2026/05/03 16:06:43.741, 2, GPU-4602a243-1af5-6ed0-97ea-b3aadf6a0de5, NVIDIA A100-SXM4-80GB, 72163, 81920, 0, 97.57, 32
nid008560,2026/05/03 16:06:43.743, 3, GPU-9c51f41c-c484-72dc-0f00-b52442c10eed, NVIDIA A100-SXM4-80GB, 4, 81920, 0, 61.73, 28
nid008561,2026/05/03 16:06:44.655, 0, GPU-046d6a3f-5ea7-4021-4d8b-05bb51db829c, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 93.10, 32
nid008561,2026/05/03 16:06:44.658, 1, GPU-d2377047-2a9b-0334-b802-a81ee53fa3e8, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 95.67, 30
nid008561,2026/05/03 16:06:44.660, 2, GPU-cc2df889-0529-caa2-4f60-b8f58554f0d5, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 89.67, 31
nid008561,2026/05/03 16:06:44.662, 3, GPU-c25d3ace-c6ec-45a5-d035-12b4951aa97c, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 94.45, 30
nid008560,2026/05/03 16:06:47.722, 0, GPU-54819be7-1194-d7c8-6144-290abb9c31bd, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 94.57, 32
nid008560,2026/05/03 16:06:47.725, 1, GPU-8050c628-f086-6a63-afa4-011f4ba35042, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.37, 30
nid008560,2026/05/03 16:06:47.726, 2, GPU-4602a243-1af5-6ed0-97ea-b3aadf6a0de5, NVIDIA A100-SXM4-80GB, 72163, 81920, 0, 97.86, 32
nid008560,2026/05/03 16:06:47.727, 3, GPU-9c51f41c-c484-72dc-0f00-b52442c10eed, NVIDIA A100-SXM4-80GB, 4, 81920, 0, 61.73, 28
nid008561,2026/05/03 16:06:48.704, 0, GPU-046d6a3f-5ea7-4021-4d8b-05bb51db829c, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 94.02, 32
nid008561,2026/05/03 16:06:48.708, 1, GPU-d2377047-2a9b-0334-b802-a81ee53fa3e8, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 95.90, 30
nid008561,2026/05/03 16:06:48.711, 2, GPU-cc2df889-0529-caa2-4f60-b8f58554f0d5, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 89.81, 31
nid008561,2026/05/03 16:06:48.713, 3, GPU-c25d3ace-c6ec-45a5-d035-12b4951aa97c, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 94.34, 30
nid008560,2026/05/03 16:06:51.719, 0, GPU-54819be7-1194-d7c8-6144-290abb9c31bd, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 94.34, 32
nid008560,2026/05/03 16:06:51.725, 1, GPU-8050c628-f086-6a63-afa4-011f4ba35042, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.37, 30
nid008560,2026/05/03 16:06:51.732, 2, GPU-4602a243-1af5-6ed0-97ea-b3aadf6a0de5, NVIDIA A100-SXM4-80GB, 72163, 81920, 0, 97.57, 32
