Metric,Value
Error Request Count,200.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f31deb06-6e43-f718-2660-1b6122d1bb93,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,GPU Power Usage (W),105.68,105.49,105.78,105.49,105.49,105.49,105.56,105.78,105.78,105.78,105.78,105.78,0.15,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,GPU Memory Used (GB),39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,GPU Temperature (°C),33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,SM Utilization (%),7.33,7.00,8.00,7.00,7.00,7.00,7.00,7.00,7.75,8.00,8.00,8.00,0.52,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,GPU Power Usage (W),103.88,103.84,103.96,103.84,103.84,103.84,103.84,103.84,103.93,103.96,103.96,103.96,0.06,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,GPU Memory Used (GB),39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,GPU Temperature (°C),36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,SM Utilization (%),7.83,7.00,9.00,7.00,7.00,7.00,7.25,8.00,8.00,8.50,8.75,8.95,0.75,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,GPU Power Usage (W),104.76,104.72,105.00,104.72,104.72,104.72,104.72,104.72,104.72,104.86,104.93,104.99,0.12,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,GPU Memory Used (GB),39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,39.36,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,GPU Temperature (°C),34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,SM Utilization (%),7.83,7.00,9.00,7.00,7.00,7.00,7.25,8.00,8.00,8.50,8.75,8.95,0.75,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90,Power Violation (us),0.00,,,,,,,,,,,,,localhost
