Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,1.25,0.32
HTTP Connection Overhead (ms),0.14,0.00,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,1.80,0.46
HTTP Connection Reused (ratio),0.92,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.27
HTTP Data Received (KB),0.84,0.53,1.61,0.62,0.67,0.70,0.72,0.82,0.90,1.00,1.04,1.58,0.18
HTTP Data Sent (KB),362.95,282.85,502.50,282.87,283.00,283.05,283.23,332.08,502.06,502.29,502.35,502.41,88.80
HTTP DNS Lookup (ms),0.04,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.55,0.14
HTTP Duration (excl. conn) (ms),589.43,252.38,1513.74,308.04,370.34,388.63,458.21,557.80,653.45,761.00,857.51,1484.43,224.02
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.25,0.10,1.80,0.10,0.10,0.10,0.11,0.13,0.15,0.18,1.59,1.69,0.41
HTTP Total Time (ms),589.56,252.37,1513.73,308.03,370.33,388.62,458.20,559.40,653.44,760.99,857.50,1484.42,224.03
HTTP Waiting (TTFB) (ms),589.17,252.26,1513.60,307.92,370.22,388.49,458.07,556.28,653.31,760.82,857.40,1484.31,224.00
Image Latency (ms/image),589.49,252.43,1513.78,308.08,370.37,388.67,458.26,557.98,653.50,761.05,857.54,1484.47,224.02
Image Throughput (images/sec),1.88,0.66,3.96,0.67,1.17,1.31,1.53,1.79,2.18,2.57,2.70,3.25,0.55
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-63.12,-86.33,0.00,-80.53,-77.38,-76.21,-72.27,-64.45,-58.11,-50.78,-46.33,0.00,15.22
Output Sequence Length (tokens),94.41,35.00,256.00,49.85,57.90,60.90,71.00,91.00,107.25,126.00,137.40,256.00,38.97
Output Token Count (tokens),94.41,35.00,256.00,49.85,57.90,60.90,71.00,91.00,107.25,126.00,137.40,256.00,38.97
Request Latency (ms),589.49,252.43,1513.78,308.08,370.37,388.67,458.26,557.98,653.50,761.05,857.54,1484.47,224.02
Usage Completion Tokens (tokens),94.41,35.00,256.00,49.85,57.90,60.90,71.00,91.00,107.25,126.00,137.40,256.00,38.97
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),989.41,930.00,1151.00,944.85,952.90,955.90,966.00,986.00,1002.25,1021.00,1032.40,1151.00,38.97

Metric,Value
Benchmark Duration (sec),7.59
Maximum Response Timestamp (ns),1777274189215746560.00
Minimum Request Timestamp (ns),1777274181628613120.00
OSL Mismatch Count,97.00
Output Token Throughput (tokens/sec),1244.34
Request Count,100.00
Request Throughput (requests/sec),13.18
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9441.00
Total Output Tokens (tokens),9441.00
Total Token Throughput (tokens/sec),13040.63
Total Usage Completion Tokens (tokens),9441.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98941.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Power Usage (W),52.91,52.68,53.05,52.72,52.86,52.86,52.92,52.92,52.92,52.92,52.92,53.02,0.06,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Power Usage (W),47.72,47.60,47.94,47.60,47.60,47.60,47.66,47.66,47.88,47.88,47.94,47.94,0.12,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Temperature (°C),29.14,29.00,30.00,29.00,29.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,0.36,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Power Violation (us),0.00,,,,,,,,,,,,,localhost
