Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,63.33,40.00,64.00,53.86,61.85,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.82
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.20
HTTP Connection Overhead (ms),0.06,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.56,0.29
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),16.48,10.57,16.68,14.10,16.10,16.16,16.64,16.65,16.66,16.67,16.67,16.68,0.71
HTTP Data Sent (KB),363.49,283.05,502.42,283.09,283.12,283.16,318.32,325.32,502.12,502.33,502.38,502.42,86.10
HTTP DNS Lookup (ms),0.02,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.09
HTTP Duration (excl. conn) (ms),1215.09,792.02,1362.49,1028.45,1184.46,1197.11,1203.75,1217.08,1234.11,1250.80,1263.88,1362.27,60.79
HTTP Receiving (ms),1108.78,699.38,1168.17,941.30,1073.69,1092.82,1109.33,1115.59,1124.10,1137.21,1146.05,1167.61,51.62
HTTP Sending (ms),0.18,0.10,1.51,0.10,0.10,0.10,0.11,0.12,0.14,0.15,0.19,1.51,0.26
HTTP Total Time (ms),1215.15,792.02,1363.87,1028.45,1184.46,1197.11,1203.75,1217.08,1234.11,1250.80,1263.88,1363.83,60.93
HTTP Waiting (TTFB) (ms),106.14,83.12,264.40,83.26,86.93,87.96,91.05,94.45,108.78,127.92,140.44,246.28,31.49
Image Latency (ms/image),1212.37,772.49,1362.67,1008.31,1161.18,1185.39,1202.79,1217.13,1233.22,1250.85,1263.94,1362.44,64.57
Image Throughput (images/sec),0.83,0.73,1.29,0.73,0.79,0.80,0.81,0.82,0.83,0.84,0.86,0.99,0.06
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),17.78,0.10,43.02,14.39,16.88,17.02,17.27,17.60,18.04,18.69,19.20,23.58,1.43
Inter Token Latency (ms),17.74,17.17,18.54,17.32,17.37,17.47,17.61,17.70,17.84,18.05,18.19,18.53,0.24
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-1.05,-37.50,0.00,-15.84,-3.36,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,4.40
Output Sequence Length (tokens),63.33,40.00,64.00,53.86,61.85,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.82
Output Token Count (tokens),63.33,40.00,64.00,53.86,61.85,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.82
Output Token Throughput Per User (tokens/sec/user),56.38,53.93,58.25,53.96,54.97,55.40,56.05,56.49,56.80,57.23,57.58,57.75,0.75
Prefill Throughput Per User (tokens/sec/user),8829.24,3364.98,10744.32,3609.11,6362.94,6987.82,8212.45,9461.12,9812.25,10158.76,10275.46,10730.73,1488.86
Request Latency (ms),1212.37,772.49,1362.67,1008.31,1161.18,1185.39,1202.79,1217.13,1233.22,1250.85,1263.94,1362.44,64.57
Time to First Output Token (ms),106.37,83.30,265.97,83.41,87.10,88.10,91.21,94.60,108.98,128.08,140.66,248.00,31.76
Time to First Token (ms),106.37,83.30,265.97,83.41,87.10,88.10,91.21,94.60,108.98,128.08,140.66,248.00,31.76
Time to Second Token (ms),17.93,9.93,26.84,10.92,13.14,15.57,17.45,17.91,18.35,20.09,23.47,26.00,2.65
Usage Completion Tokens (tokens),63.33,40.00,64.00,53.86,61.85,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.82
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.33,935.00,959.00,948.86,956.85,957.00,959.00,959.00,959.00,959.00,959.00,959.00,2.82

Metric,Value
Benchmark Duration (sec),30.59
Maximum Response Timestamp (ns),1777348553183719936.00
Minimum Request Timestamp (ns),1777348522593545728.00
OSL Mismatch Count,5.00
Output Token Throughput (tokens/sec),207.03
Request Count,100.00
Request Throughput (requests/sec),3.27
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6333.00
Total Output Tokens (tokens),6333.00
Total Token Throughput (tokens/sec),3132.80
Total Usage Completion Tokens (tokens),6333.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95833.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),72.83,72.77,73.06,72.77,72.77,72.77,72.77,72.77,72.77,73.06,73.06,73.06,0.11,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),56.17,55.95,56.18,56.03,56.12,56.12,56.18,56.18,56.18,56.18,56.18,56.18,0.04,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
