Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,1.18,1.21,1.40,0.45
HTTP Connection Overhead (ms),0.29,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,1.71,1.79,2.17,0.67
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),0.89,0.80,0.92,0.81,0.86,0.87,0.88,0.89,0.90,0.91,0.91,0.92,0.02
HTTP Data Sent (KB),366.17,283.02,502.51,283.03,283.05,283.11,318.32,332.21,502.11,502.32,502.34,502.44,84.56
HTTP DNS Lookup (ms),0.09,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.58,0.73,0.22
HTTP Duration (excl. conn) (ms),1318.12,950.02,1694.14,1017.35,1165.90,1200.51,1237.49,1287.12,1354.27,1593.25,1636.59,1667.88,143.75
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.39,0.10,1.95,0.11,0.12,0.12,0.13,0.14,0.18,1.63,1.67,1.86,0.56
HTTP Total Time (ms),1318.39,950.01,1695.74,1017.34,1165.89,1200.50,1237.48,1287.11,1354.26,1595.23,1638.31,1669.63,144.30
HTTP Waiting (TTFB) (ms),1317.71,949.90,1692.47,1017.20,1165.77,1200.38,1237.35,1286.98,1354.08,1591.30,1634.89,1666.20,143.26
Image Latency (ms/image),1318.19,950.06,1694.36,1017.40,1165.94,1200.56,1237.53,1287.17,1354.32,1593.47,1636.80,1668.09,143.79
Image Throughput (images/sec),0.77,0.59,1.05,0.60,0.61,0.63,0.74,0.78,0.81,0.83,0.86,0.98,0.08
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.98,-25.00,0.00,-20.36,-6.25,-0.31,0.00,0.00,0.00,0.00,0.00,0.00,3.85
Output Sequence Length (tokens),63.37,48.00,64.00,50.97,60.00,63.80,64.00,64.00,64.00,64.00,64.00,64.00,2.46
Output Token Count (tokens),63.37,48.00,64.00,50.97,60.00,63.80,64.00,64.00,64.00,64.00,64.00,64.00,2.46
Request Latency (ms),1318.19,950.06,1694.36,1017.40,1165.94,1200.56,1237.53,1287.17,1354.32,1593.47,1636.80,1668.09,143.79
Usage Completion Tokens (tokens),63.37,48.00,64.00,50.97,60.00,63.80,64.00,64.00,64.00,64.00,64.00,64.00,2.46
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.37,943.00,959.00,945.97,955.00,958.80,959.00,959.00,959.00,959.00,959.00,959.00,2.46

Metric,Value
Benchmark Duration (sec),8.91
Maximum Response Timestamp (ns),1777275646783159296.00
Minimum Request Timestamp (ns),1777275637874565632.00
OSL Mismatch Count,6.00
Output Token Throughput (tokens/sec),711.34
Request Count,100.00
Request Throughput (requests/sec),11.23
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6337.00
Total Output Tokens (tokens),6337.00
Total Token Throughput (tokens/sec),10757.81
Total Usage Completion Tokens (tokens),6337.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95837.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Power Usage (W),52.74,52.62,52.80,52.63,52.68,52.71,52.74,52.74,52.74,52.80,52.80,52.80,0.04,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Power Usage (W),47.69,47.60,47.71,47.60,47.60,47.60,47.71,47.71,47.71,47.71,47.71,47.71,0.05,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Power Violation (us),0.00,,,,,,,,,,,,,localhost
