Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.23
HTTP Connection Overhead (ms),0.07,0.00,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.33
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),1.04,0.72,3.74,0.82,0.85,0.89,0.92,0.99,1.07,1.14,1.20,2.03,0.32
HTTP Data Sent (KB),357.63,283.00,502.42,283.00,283.05,283.08,318.24,325.30,332.40,502.26,502.28,502.36,83.18
HTTP DNS Lookup (ms),0.02,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.10
HTTP Duration (excl. conn) (ms),1755.70,668.92,17356.44,939.05,1027.33,1112.32,1291.58,1526.47,1836.94,2006.23,2208.10,5159.01,1671.64
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.18,0.09,1.71,0.09,0.10,0.10,0.11,0.11,0.12,0.14,0.17,1.69,0.30
HTTP Total Time (ms),1755.75,668.92,17356.43,939.04,1027.32,1112.31,1291.57,1526.46,1836.93,2006.23,2208.09,5159.00,1671.63
HTTP Waiting (TTFB) (ms),1755.51,668.80,17356.32,938.94,1027.22,1112.19,1291.46,1526.35,1836.82,2006.12,2207.98,5158.89,1671.65
Image Latency (ms/image),1755.74,668.96,17356.48,939.09,1027.36,1112.35,1291.63,1526.51,1837.00,2006.27,2208.14,5159.05,1671.64
Image Throughput (images/sec),0.67,0.06,1.49,0.20,0.45,0.50,0.54,0.66,0.77,0.90,0.97,1.07,0.19
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-90.31,-96.58,0.00,-94.94,-94.44,-93.95,-92.97,-91.60,-89.89,-88.80,-87.59,-70.48,9.69
Output Sequence Length (tokens),99.24,35.00,1024.00,51.83,56.95,62.00,72.00,86.00,103.50,114.70,127.05,302.29,99.20
Output Token Count (tokens),99.24,35.00,1024.00,51.83,56.95,62.00,72.00,86.00,103.50,114.70,127.05,302.29,99.20
Request Latency (ms),1755.74,668.96,17356.48,939.09,1027.36,1112.35,1291.63,1526.51,1837.00,2006.27,2208.14,5159.05,1671.64
Usage Completion Tokens (tokens),99.24,35.00,1024.00,51.83,56.95,62.00,72.00,86.00,103.50,114.70,127.05,302.29,99.20
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),994.24,930.00,1919.00,946.83,951.95,957.00,967.00,981.00,998.50,1009.70,1022.05,1197.29,99.20

Metric,Value
Benchmark Duration (sec),44.71
Maximum Response Timestamp (ns),1777276249187305472.00
Minimum Request Timestamp (ns),1777276204475555840.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),221.96
Request Count,100.00
Request Throughput (requests/sec),2.24
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9924.00
Total Output Tokens (tokens),9924.00
Total Token Throughput (tokens/sec),2223.67
Total Usage Completion Tokens (tokens),9924.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99424.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Power Usage (W),52.80,52.74,52.99,52.74,52.74,52.74,52.74,52.74,52.74,52.99,52.99,52.99,0.10,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f01bcb03-4e19-9ea1-c685-5ad18f45a37b,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Power Usage (W),47.68,47.66,48.00,47.66,47.66,47.66,47.66,47.66,47.71,47.71,47.71,47.94,0.05,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-42e20de9-806b-b5c9-ced9-fdc6868940cc,Power Violation (us),0.00,,,,,,,,,,,,,localhost
