Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.51,1.01,1.83,151.34,1.01,1.07,1.17,1.34,1.62,1.71,1.75,1.78,1.83,0.23
HTTP Data Sent (KB),1104.72,943.83,1593.74,110472.25,943.83,943.86,943.98,944.10,1020.64,1095.01,1593.55,1593.64,1593.74,231.13
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1336.64,1183.16,1879.71,133663.58,1200.13,1247.12,1275.01,1293.39,1310.97,1342.81,1377.32,1608.70,1866.22,112.65
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.09,0.31,13.44,0.10,0.10,0.10,0.11,0.13,0.14,0.18,0.20,0.25,0.03
HTTP Total Time (ms),1336.62,1183.15,1879.69,133662.08,1200.12,1247.10,1275.00,1293.37,1310.96,1342.79,1377.31,1608.67,1866.20,112.65
HTTP Waiting (TTFB) (ms),1336.49,1183.04,1879.51,133648.64,1200.01,1247.00,1274.88,1293.26,1310.84,1342.67,1377.17,1608.46,1866.00,112.63
Image Latency (ms/image),1336.68,1183.20,1879.77,133668.49,1200.17,1247.16,1275.05,1293.43,1311.01,1342.85,1377.37,1608.75,1866.29,112.65
Image Throughput (images/sec),0.75,0.53,0.85,75.24,0.54,0.62,0.73,0.74,0.76,0.77,0.78,0.80,0.83,0.05
Input Sequence Length (tokens),3311.00,3311.00,3311.00,331100.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,0.00
Number of Images (images),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),1336.68,1183.20,1879.77,133668.49,1200.17,1247.16,1275.05,1293.43,1311.01,1342.85,1377.37,1608.75,1866.29,112.65
Usage Completion Tokens (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Tokens (tokens),3311.00,3311.00,3311.00,331100.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,0.00
Usage Total Tokens (tokens),3567.00,3567.00,3567.00,356700.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,0.00

Metric,Value
Benchmark Duration (sec),17.29
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1480.87
Request Count,100.00
Request Throughput (requests/sec),5.78
Total Input Sequence Length (tokens),331100.00
Total Output Sequence Length (tokens),25600.00
Total Output Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),20633.86
Total Usage Completion Tokens (tokens),25600.00
Total Usage Prompt Tokens (tokens),331100.00
Total Usage Total Tokens (tokens),356700.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Decoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Power Usage (W),33.54,33.42,33.65,,33.43,33.50,33.52,33.52,33.54,33.54,33.62,33.63,33.65,0.04,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Memory Used (GB),0.54,0.54,0.54,,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Temperature (°C),31.00,31.00,31.00,,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Memory Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Decoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
