Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,91.58,19.00,249.00,46.72,51.00,58.70,70.50,88.50,104.25,115.30,142.90,248.01,36.71
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.85,0.00,41.02,0.00,0.00,0.00,0.00,0.00,1.30,1.46,1.60,2.19,4.09
HTTP Connection Overhead (ms),1.05,0.00,41.69,0.00,0.00,0.00,0.00,0.00,1.90,2.09,2.29,3.04,4.19
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),32.71,6.88,88.92,16.57,18.35,21.42,25.25,31.96,37.07,41.46,50.40,88.44,13.10
HTTP Data Sent (KB),354.69,282.98,502.40,282.98,283.04,283.10,318.31,332.14,332.36,502.30,502.36,502.40,80.50
HTTP DNS Lookup (ms),0.20,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.54,0.68,0.74,0.82,0.30
HTTP Duration (excl. conn) (ms),1016.12,384.30,2951.70,410.14,536.08,599.26,748.57,974.07,1176.25,1495.78,1565.22,2063.60,390.18
HTTP Receiving (ms),816.41,319.63,2431.45,337.80,430.77,476.51,586.45,783.39,978.28,1132.84,1223.50,2000.09,328.81
HTTP Sending (ms),1.11,0.10,41.57,0.11,0.12,0.13,0.14,0.19,1.75,1.93,2.14,2.76,4.15
HTTP Total Time (ms),1017.18,384.30,2953.65,410.14,536.08,599.26,748.57,975.30,1177.85,1497.83,1566.98,2063.61,391.05
HTTP Waiting (TTFB) (ms),198.60,46.68,646.43,49.18,50.59,57.68,64.69,78.61,355.50,521.55,612.89,646.36,195.68
Image Latency (ms/image),1005.78,378.88,2951.38,404.91,518.00,585.96,743.07,967.77,1173.55,1487.16,1514.01,2063.65,388.28
Image Throughput (images/sec),1.14,0.34,2.64,0.49,0.66,0.67,0.85,1.03,1.35,1.71,1.93,2.47,0.42
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),8.98,0.00,33.61,0.06,1.21,3.70,5.10,5.75,13.00,19.14,22.38,31.31,6.84
Inter Token Latency (ms),8.69,5.11,11.20,5.15,5.74,6.49,7.69,9.22,9.83,10.18,10.37,11.01,1.46
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-63.20,-81.64,0.00,-81.64,-79.69,-76.29,-71.19,-63.67,-59.28,-53.67,-43.75,0.00,14.48
Output Sequence Length (tokens),94.22,47.00,256.00,47.00,52.00,60.70,73.75,93.00,104.25,118.60,144.00,256.00,37.06
Output Token Count (tokens),94.22,47.00,256.00,47.00,52.00,60.70,73.75,93.00,104.25,118.60,144.00,256.00,37.06
Output Token Throughput Per User (tokens/sec/user),119.11,89.30,195.72,90.85,96.48,98.27,101.76,108.43,130.06,154.08,174.08,194.19,24.45
Prefill Throughput Per User (tokens/sec/user),9551.61,1349.09,19098.92,1379.29,1455.55,1709.93,2503.51,11352.03,13781.56,15462.91,17623.40,18114.96,5616.10
Request Latency (ms),1005.78,378.88,2951.38,404.91,518.00,585.96,743.07,967.77,1173.55,1487.16,1514.01,2063.65,388.28
Time to First Output Token (ms),199.83,46.86,663.41,49.41,50.78,57.88,64.94,78.84,357.50,523.57,614.89,648.89,197.43
Time to First Token (ms),199.83,46.86,663.41,49.41,50.78,57.88,64.94,78.84,357.50,523.57,614.89,648.89,197.43
Time to Second Token (ms),15.11,0.00,33.55,0.00,2.20,4.07,5.53,13.26,21.86,31.24,31.92,33.43,10.28
Usage Completion Tokens (tokens),94.22,47.00,256.00,47.00,52.00,60.70,73.75,93.00,104.25,118.60,144.00,256.00,37.06
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),989.22,942.00,1151.00,942.00,947.00,955.70,968.75,988.00,999.25,1013.60,1039.00,1151.00,37.06

Metric,Value
Benchmark Duration (sec),3.92
Maximum Response Timestamp (ns),1777346461870183168.00
Minimum Request Timestamp (ns),1777346457947486208.00
OSL Mismatch Count,98.00
Output Token Throughput (tokens/sec),2401.92
Request Count,100.00
Request Throughput (requests/sec),25.49
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9422.00
Total Output Tokens (tokens),9422.00
Total Token Throughput (tokens/sec),25217.85
Total Usage Completion Tokens (tokens),9422.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98922.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),55.15,55.12,55.25,55.12,55.12,55.12,55.12,55.12,55.18,55.18,55.22,55.24,0.04,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),55.86,55.81,55.95,55.81,55.81,55.81,55.81,55.88,55.88,55.88,55.91,55.94,0.04,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
