Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,123.60,56.00,1024.00,56.99,62.95,66.80,78.00,93.00,110.00,125.20,142.95,1024.00,160.83
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.24
HTTP Connection Overhead (ms),0.07,0.00,1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.34
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),31.63,14.59,258.28,14.89,16.39,17.34,20.20,23.97,28.25,32.07,36.57,257.89,40.34
HTTP Data Sent (KB),349.43,282.87,502.40,282.92,283.04,283.10,283.21,318.51,332.38,502.26,502.30,502.38,83.36
HTTP DNS Lookup (ms),0.02,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.10
HTTP Duration (excl. conn) (ms),2239.48,1059.76,18081.04,1108.12,1192.89,1268.73,1449.35,1709.93,1997.56,2264.78,2569.46,17978.67,2802.95
HTTP Receiving (ms),2143.88,971.35,17992.83,1018.17,1077.50,1150.01,1343.13,1606.92,1908.23,2177.56,2480.90,17874.63,2803.46
HTTP Sending (ms),0.19,0.10,1.79,0.11,0.11,0.11,0.12,0.12,0.13,0.15,0.18,1.79,0.30
HTTP Total Time (ms),2239.55,1059.76,18081.04,1108.12,1192.89,1268.73,1449.35,1709.93,1997.56,2264.78,2569.46,17978.67,2802.93
HTTP Waiting (TTFB) (ms),95.42,79.35,244.75,82.96,85.53,86.18,87.28,88.42,89.66,105.20,106.83,225.99,27.15
Image Latency (ms/image),2221.85,1037.40,18081.09,1089.58,1175.30,1250.59,1431.61,1691.55,1979.07,2247.15,2551.28,17978.71,2806.01
Image Throughput (images/sec),0.59,0.06,0.96,0.06,0.39,0.45,0.51,0.59,0.70,0.80,0.85,0.92,0.17
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),17.48,0.80,26.77,14.04,16.55,16.74,17.02,17.36,17.78,18.33,18.68,22.96,1.18
Inter Token Latency (ms),17.31,16.84,18.07,17.00,17.13,17.17,17.20,17.29,17.35,17.44,17.60,17.86,0.17
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-87.93,-94.53,0.00,-94.43,-93.85,-93.48,-92.38,-90.92,-89.26,-87.77,-86.04,0.00,15.71
Output Sequence Length (tokens),123.60,56.00,1024.00,56.99,62.95,66.80,78.00,93.00,110.00,125.20,142.95,1024.00,160.83
Output Token Count (tokens),123.60,56.00,1024.00,56.99,62.95,66.80,78.00,93.00,110.00,125.20,142.95,1024.00,160.83
Output Token Throughput Per User (tokens/sec/user),57.78,55.33,59.38,55.98,56.82,57.35,57.63,57.85,58.13,58.25,58.38,58.84,0.57
Prefill Throughput Per User (tokens/sec/user),9718.48,3630.88,11252.73,3925.82,8362.76,8492.57,9963.93,10102.32,10232.74,10361.98,10443.93,10766.87,1301.26
Request Latency (ms),2221.85,1037.40,18081.09,1089.58,1175.30,1250.59,1431.61,1691.55,1979.07,2247.15,2551.28,17978.71,2806.01
Time to First Output Token (ms),95.66,79.54,246.50,83.13,85.70,86.37,87.46,88.59,89.82,105.39,107.02,227.99,27.47
Time to First Token (ms),95.66,79.54,246.50,83.13,85.70,86.37,87.46,88.59,89.82,105.39,107.02,227.99,27.47
Time to Second Token (ms),17.41,11.57,23.45,12.45,16.31,16.56,16.85,17.29,17.98,18.44,18.88,23.07,1.48
Usage Completion Tokens (tokens),123.60,56.00,1024.00,56.99,62.95,66.80,78.00,93.00,110.00,125.20,142.95,1024.00,160.83
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1018.60,951.00,1919.00,951.99,957.95,961.80,973.00,988.00,1005.00,1020.20,1037.95,1919.00,160.83

Metric,Value
Benchmark Duration (sec),58.78
Maximum Response Timestamp (ns),1777349266188646144.00
Minimum Request Timestamp (ns),1777349207412374016.00
OSL Mismatch Count,97.00
Output Token Throughput (tokens/sec),210.29
Request Count,100.00
Request Throughput (requests/sec),1.70
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),12360.00
Total Output Tokens (tokens),12360.00
Total Token Throughput (tokens/sec),1733.01
Total Usage Completion Tokens (tokens),12360.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),101860.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),72.91,72.77,73.15,72.77,72.77,72.77,72.77,72.86,73.06,73.06,73.15,73.15,0.14,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),56.17,55.95,56.18,55.95,56.12,56.18,56.18,56.18,56.18,56.18,56.18,56.18,0.05,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
