Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,92.58,45.00,137.00,51.93,59.00,62.00,78.75,94.50,107.00,117.00,123.20,136.01,20.25
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
HTTP Connection Overhead (ms),0.02,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.16
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),23.85,11.86,35.01,13.60,15.41,16.16,20.38,24.33,27.47,30.00,31.55,34.74,5.10
HTTP Data Sent (KB),362.29,283.05,502.46,283.07,283.13,283.14,309.46,318.60,502.06,502.32,502.36,502.45,86.92
HTTP DNS Lookup (ms),0.01,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05
HTTP Duration (excl. conn) (ms),1634.95,811.59,2473.03,925.48,1070.37,1114.98,1390.95,1663.49,1875.64,2068.63,2205.55,2358.82,352.75
HTTP Receiving (ms),1554.76,732.96,2386.23,847.17,983.91,1027.12,1308.51,1582.78,1799.90,1983.50,2117.88,2280.13,354.59
HTTP Sending (ms),0.13,0.10,1.55,0.10,0.10,0.10,0.11,0.11,0.11,0.12,0.12,0.37,0.14
HTTP Total Time (ms),1634.97,811.59,2473.03,925.48,1070.37,1114.98,1390.95,1663.49,1875.64,2068.63,2205.55,2358.82,352.74
HTTP Waiting (TTFB) (ms),80.07,72.35,92.58,72.48,74.21,74.93,76.04,78.25,85.66,88.12,89.40,89.98,5.23
Image Latency (ms/image),1616.90,793.90,2452.63,907.73,1052.71,1097.75,1373.28,1645.63,1858.10,2050.68,2188.40,2330.61,352.36
Image Throughput (images/sec),0.65,0.41,1.26,0.43,0.46,0.49,0.54,0.61,0.73,0.91,0.95,1.10,0.16
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),16.96,14.92,20.56,15.93,16.13,16.23,16.44,16.76,17.24,18.11,18.56,19.52,0.76
Inter Token Latency (ms),16.75,16.22,18.69,16.25,16.34,16.40,16.49,16.57,16.71,17.41,18.07,18.62,0.52
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-90.96,-95.61,-86.62,-94.93,-94.24,-93.95,-92.31,-90.77,-89.55,-88.57,-87.97,-86.72,1.98
Output Sequence Length (tokens),92.58,45.00,137.00,51.93,59.00,62.00,78.75,94.50,107.00,117.00,123.20,136.01,20.25
Output Token Count (tokens),92.58,45.00,137.00,51.93,59.00,62.00,78.75,94.50,107.00,117.00,123.20,136.01,20.25
Output Token Throughput Per User (tokens/sec/user),59.76,53.50,61.65,53.70,55.33,57.45,59.85,60.36,60.63,60.97,61.20,61.52,1.72
Prefill Throughput Per User (tokens/sec/user),11200.02,9649.86,12343.99,9928.54,9971.73,10120.32,10429.30,11416.10,11745.91,11921.89,12036.59,12320.45,706.11
Request Latency (ms),1616.90,793.90,2452.63,907.73,1052.71,1097.75,1373.28,1645.63,1858.10,2050.68,2188.40,2330.61,352.36
Time to First Output Token (ms),80.24,72.50,92.75,72.64,74.36,75.07,76.20,78.40,85.82,88.44,89.75,90.14,5.27
Time to First Token (ms),80.24,72.50,92.75,72.64,74.36,75.07,76.20,78.40,85.82,88.44,89.75,90.14,5.27
Time to Second Token (ms),16.58,15.29,18.31,15.77,15.96,16.02,16.18,16.42,16.87,17.41,17.75,18.19,0.58
Usage Completion Tokens (tokens),92.58,45.00,137.00,51.93,59.00,62.00,78.75,94.50,107.00,117.00,123.20,136.01,20.25
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),987.58,940.00,1032.00,946.93,954.00,957.00,973.75,989.50,1002.00,1012.00,1018.20,1031.01,20.25

Metric,Value
Benchmark Duration (sec),163.72
Maximum Response Timestamp (ns),1777349188864963328.00
Minimum Request Timestamp (ns),1777349025140729088.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),56.55
Request Count,100.00
Request Throughput (requests/sec),0.61
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9258.00
Total Output Tokens (tokens),9258.00
Total Token Throughput (tokens/sec),603.20
Total Usage Completion Tokens (tokens),9258.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98758.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),72.84,72.77,73.15,72.77,72.77,72.77,72.77,72.86,72.86,72.86,73.06,73.15,0.09,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),56.13,55.95,56.18,55.95,55.95,55.95,56.18,56.18,56.18,56.18,56.18,56.18,0.10,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
