Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,63.64,58.00,64.00,58.99,61.95,63.00,64.00,64.00,64.00,64.00,64.00,64.00,1.05
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,1.22,0.31
HTTP Connection Overhead (ms),0.13,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,1.78,0.45
HTTP Connection Reused (ratio),0.92,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.27
HTTP Data Received (KB),16.56,15.14,16.68,15.38,16.15,16.40,16.64,16.65,16.66,16.67,16.67,16.68,0.26
HTTP Data Sent (KB),352.17,282.92,502.47,282.95,283.04,283.12,283.31,318.48,332.33,502.28,502.32,502.47,81.78
HTTP DNS Lookup (ms),0.04,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.56,0.14
HTTP Duration (excl. conn) (ms),1208.77,1103.76,1514.64,1116.96,1139.65,1156.37,1176.37,1190.47,1203.93,1227.25,1442.12,1506.75,82.49
HTTP Receiving (ms),1083.45,974.43,1172.97,998.51,1038.49,1061.29,1077.75,1086.90,1093.87,1097.54,1101.19,1172.97,25.98
HTTP Sending (ms),0.24,0.09,1.70,0.09,0.10,0.10,0.11,0.12,0.14,0.19,1.55,1.69,0.40
HTTP Total Time (ms),1208.90,1103.76,1516.25,1116.96,1139.65,1156.37,1176.37,1190.47,1203.93,1227.25,1443.91,1508.33,82.91
HTTP Waiting (TTFB) (ms),125.09,80.67,436.42,81.42,84.88,85.62,88.86,106.64,124.00,142.69,271.75,409.38,72.17
Image Latency (ms/image),1207.19,1085.89,1514.82,1093.95,1126.37,1144.47,1176.41,1190.52,1203.98,1227.29,1442.30,1506.96,84.15
Image Throughput (images/sec),0.83,0.66,0.92,0.66,0.69,0.81,0.83,0.84,0.85,0.87,0.89,0.91,0.05
Input Sequence Length (tokens),895.01,895.00,896.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.01,0.10
Inter Chunk Latency (ms),17.29,1.10,109.65,10.70,16.12,16.41,16.66,16.96,17.40,18.35,19.90,26.39,3.04
Inter Token Latency (ms),17.25,16.38,18.62,16.73,16.85,16.95,17.11,17.25,17.36,17.42,17.48,18.62,0.31
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.44,-9.38,0.00,-7.83,-3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62
Output Sequence Length (tokens),63.72,58.00,64.00,58.99,61.95,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.04
Output Token Count (tokens),63.72,58.00,64.00,58.99,61.95,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.04
Output Token Throughput Per User (tokens/sec/user),58.00,53.71,61.05,53.71,57.21,57.40,57.59,57.96,58.46,59.01,59.35,59.78,1.00
Prefill Throughput Per User (tokens/sec/user),8233.34,2042.41,11071.74,2176.75,3294.81,6264.52,7208.90,8376.87,10054.55,10434.85,10524.45,10970.24,2128.28
Request Latency (ms),1207.19,1085.89,1514.82,1093.95,1126.37,1144.47,1176.41,1190.52,1203.98,1227.29,1442.30,1506.96,84.15
Time to First Output Token (ms),125.39,80.84,438.21,81.58,85.04,85.77,89.01,106.84,124.16,142.87,273.60,411.18,72.57
Time to First Token (ms),125.39,80.84,438.21,81.58,85.04,85.77,89.01,106.84,124.16,142.87,273.60,411.18,72.57
Time to Second Token (ms),18.28,5.45,33.68,15.40,16.28,16.53,16.87,17.42,18.42,21.42,24.99,33.61,3.32
Usage Completion Tokens (tokens),63.72,58.00,64.00,58.99,61.95,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.04
Usage Prompt Tokens (tokens),895.01,895.00,896.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.01,0.10
Usage Total Tokens (tokens),958.73,953.00,960.00,953.99,956.95,959.00,959.00,959.00,959.00,959.00,959.00,959.01,1.05

Metric,Value
Benchmark Duration (sec),15.71
Maximum Response Timestamp (ns),1777347509271889408.00
Minimum Request Timestamp (ns),1777347493557192960.00
OSL Mismatch Count,3.00
Output Token Throughput (tokens/sec),405.48
Request Count,100.00
Request Throughput (requests/sec),6.36
Total Input Sequence Length (tokens),89501.00
Total Output Sequence Length (tokens),6372.00
Total Output Tokens (tokens),6372.00
Total Token Throughput (tokens/sec),6100.85
Total Usage Completion Tokens (tokens),6372.00
Total Usage Prompt Tokens (tokens),89501.00
Total Usage Total Tokens (tokens),95873.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),55.42,55.30,55.49,55.32,55.36,55.37,55.43,55.43,55.43,55.43,55.43,55.49,0.03,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),56.05,55.88,56.18,55.88,55.88,55.88,55.95,56.12,56.12,56.18,56.18,56.18,0.12,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
