Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.58,1.10,1.86,79.17,1.11,1.15,1.18,1.47,1.66,1.73,1.77,1.80,1.84,0.21
HTTP Data Sent (KB),357.11,282.94,502.47,17855.59,282.96,283.12,283.18,318.28,318.51,332.38,502.24,502.31,502.41,83.37
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1036.79,1013.90,1099.68,51839.48,1016.84,1020.05,1021.00,1024.06,1032.52,1040.86,1051.63,1081.67,1096.21,18.74
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.10,0.09,0.16,5.12,0.09,0.09,0.09,0.09,0.10,0.11,0.11,0.13,0.14,0.01
HTTP Total Time (ms),1036.78,1013.89,1099.67,51838.81,1016.83,1020.04,1020.99,1024.04,1032.50,1040.84,1051.62,1081.66,1096.19,18.74
HTTP Waiting (TTFB) (ms),1036.67,1013.78,1099.56,51833.69,1016.71,1019.95,1020.89,1023.94,1032.40,1040.75,1051.51,1081.53,1096.09,18.74
Image Latency (ms/image),1036.83,1013.95,1099.73,51841.61,1016.88,1020.09,1021.04,1024.10,1032.56,1040.90,1051.67,1081.72,1096.25,18.74
Image Throughput (images/sec),0.96,0.91,0.99,48.24,0.91,0.92,0.95,0.96,0.97,0.98,0.98,0.98,0.98,0.02
Input Sequence Length (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),1036.83,1013.95,1099.73,51841.61,1016.88,1020.09,1021.04,1024.10,1032.56,1040.90,1051.67,1081.72,1096.25,18.74
Usage Completion Tokens (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1151.00,1151.00,1151.00,57550.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,0.00

Metric,Value
Benchmark Duration (sec),13.49
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),948.53
Request Count,50.00
Request Throughput (requests/sec),3.71
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),12800.00
Total Output Tokens (tokens),12800.00
Total Token Throughput (tokens/sec),4264.70
Total Usage Completion Tokens (tokens),12800.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),57550.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Power Usage (W),33.37,33.25,33.46,,33.25,33.25,33.34,33.35,33.35,33.36,33.45,33.45,33.46,0.06,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Memory Used (GB),0.54,0.54,0.54,,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,GPU Temperature (°C),30.00,30.00,30.00,,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Memory Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Decoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-PCIE-40GB,GPU-78db5257-5a0e-ef66-c1b1-ea073e401942,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
