Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,54.61,28.00,64.00,36.91,42.00,44.00,51.50,56.00,59.00,64.00,64.00,64.00,6.97
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.84,0.00,43.25,0.00,0.00,0.00,0.00,0.00,1.21,1.35,1.42,2.05,4.31
HTTP Connection Overhead (ms),1.03,0.00,43.80,0.00,0.00,0.00,0.00,0.00,1.76,1.95,2.07,2.81,4.39
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),14.62,7.68,16.67,10.45,11.21,11.93,13.61,15.40,15.75,16.64,16.65,16.67,1.78
HTTP Data Sent (KB),354.91,283.00,502.45,283.00,283.05,283.15,318.31,332.10,332.36,502.30,502.34,502.41,80.31
HTTP DNS Lookup (ms),0.19,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.55,0.62,0.67,0.76,0.28
HTTP Duration (excl. conn) (ms),939.05,502.61,1285.52,504.53,574.71,651.36,782.55,976.48,1123.85,1186.04,1244.23,1283.50,207.63
HTTP Receiving (ms),535.37,316.62,733.26,343.83,372.60,413.70,455.31,528.35,611.79,680.12,693.99,711.74,101.78
HTTP Sending (ms),1.11,0.11,43.72,0.11,0.12,0.12,0.14,0.18,1.67,1.92,2.02,2.69,4.35
HTTP Total Time (ms),940.08,502.61,1287.27,504.53,574.71,651.36,782.55,977.40,1124.36,1187.97,1245.85,1285.19,208.79
HTTP Waiting (TTFB) (ms),402.57,71.29,824.51,72.54,101.55,139.66,255.55,402.85,526.75,671.62,768.97,824.35,194.98
Image Latency (ms/image),938.37,502.66,1285.71,504.59,573.53,651.42,782.60,976.61,1122.24,1186.30,1224.60,1283.71,207.71
Image Throughput (images/sec),1.13,0.78,1.99,0.78,0.82,0.84,0.89,1.02,1.28,1.54,1.74,1.98,0.29
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),9.77,0.00,76.77,0.00,1.00,1.79,5.03,5.64,8.46,24.78,32.13,62.78,11.45
Inter Token Latency (ms),8.53,5.19,11.64,5.46,5.91,6.58,7.23,8.54,9.71,10.81,11.02,11.30,1.60
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.56,-21.88,0.00,-12.59,-3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67
Output Sequence Length (tokens),63.64,50.00,64.00,55.94,61.95,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.71
Output Token Count (tokens),63.64,50.00,64.00,55.94,61.95,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.71
Output Token Throughput Per User (tokens/sec/user),121.65,85.92,192.55,88.52,90.78,92.51,103.00,117.08,138.35,152.09,169.08,183.18,24.15
Prefill Throughput Per User (tokens/sec/user),3157.05,1082.97,12509.96,1083.28,1160.82,1328.59,1698.19,2208.82,3500.02,6402.25,8797.79,12306.96,2411.47
Request Latency (ms),938.37,502.66,1285.71,504.59,573.53,651.42,782.60,976.61,1122.24,1186.30,1224.60,1283.71,207.71
Time to First Output Token (ms),403.80,71.54,826.43,72.72,101.75,139.93,255.71,405.19,527.03,674.12,771.01,826.20,196.03
Time to First Token (ms),403.80,71.54,826.43,72.72,101.75,139.93,255.71,405.19,527.03,674.12,771.01,826.20,196.03
Time to Second Token (ms),20.19,0.00,63.12,0.00,0.73,0.90,4.29,19.82,31.64,36.63,50.75,62.93,16.08
Usage Completion Tokens (tokens),63.64,50.00,64.00,55.94,61.95,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.71
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.64,945.00,959.00,950.94,956.95,959.00,959.00,959.00,959.00,959.00,959.00,959.00,1.71

Metric,Value
Benchmark Duration (sec),3.13
Maximum Response Timestamp (ns),1777354028330348032.00
Minimum Request Timestamp (ns),1777354025198372864.00
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),2031.94
Request Count,100.00
Request Throughput (requests/sec),31.93
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6364.00
Total Output Tokens (tokens),6364.00
Total Token Throughput (tokens/sec),30608.16
Total Usage Completion Tokens (tokens),6364.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95864.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),72.79,72.69,72.95,72.69,72.69,72.69,72.77,72.77,72.86,72.88,72.91,72.94,0.08,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),56.12,56.01,56.18,56.02,56.05,56.10,56.12,56.12,56.12,56.18,56.18,56.18,0.05,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
