Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.76,0.00,6.68,0.00,0.00,0.00,0.00,0.00,0.00,4.20,5.03,5.62,1.75
HTTP Connection Overhead (ms),1.41,0.00,12.66,0.00,0.00,0.00,0.00,0.00,0.00,7.75,9.23,10.39,3.23
HTTP Connection Reused (ratio),0.83,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),1.87,1.35,2.51,1.35,1.36,1.37,1.59,1.96,2.09,2.20,2.23,2.48,0.31
HTTP Data Sent (KB),9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,0.00
HTTP DNS Lookup (ms),0.64,0.00,5.98,0.00,0.00,0.00,0.00,0.00,0.00,3.57,4.20,4.77,1.48
HTTP Duration (excl. conn) (ms),6764.19,2550.03,8963.40,2762.95,3534.18,4926.62,6295.95,7068.82,7598.65,8591.72,8794.93,8962.41,1439.01
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.71,0.46,7.97,0.48,0.52,0.53,0.55,0.60,0.88,6.33,6.83,7.84,2.24
HTTP Total Time (ms),6765.58,2550.02,8973.63,2762.94,3534.16,4926.61,6295.94,7068.81,7598.64,8602.28,8803.33,8971.59,1440.76
HTTP Waiting (TTFB) (ms),6762.46,2549.48,8955.63,2762.36,3533.54,4926.03,6295.10,7068.27,7598.06,8585.01,8788.03,8955.53,1437.74
Image Latency (ms/image),6764.30,2550.09,8963.64,2763.02,3534.25,4926.68,6296.03,7068.88,7598.72,8591.96,8795.29,8962.70,1439.06
Image Throughput (images/sec),0.16,0.11,0.39,0.11,0.11,0.12,0.13,0.14,0.16,0.20,0.28,0.36,0.05
Input Sequence Length (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.50,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.31
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),251.94,143.00,366.00,144.90,151.25,154.50,201.25,269.50,298.25,317.50,320.25,363.15,60.37
Output Token Count (tokens),251.94,143.00,366.00,144.90,151.25,154.50,201.25,269.50,298.25,317.50,320.25,363.15,60.37
Request Latency (ms),6764.30,2550.09,8963.64,2763.02,3534.25,4926.68,6296.03,7068.88,7598.72,8591.96,8795.29,8962.70,1439.06
Usage Completion Tokens (tokens),251.94,143.00,366.00,144.90,151.25,154.50,201.25,269.50,298.25,317.50,320.25,363.15,60.37
Usage Prompt Tokens (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.50,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.31
Usage Total Tokens (tokens),5645.83,5537.00,5760.00,5538.90,5545.25,5548.50,5595.25,5663.50,5691.50,5710.50,5714.25,5757.15,60.30

Metric,Value
Benchmark Duration (sec),43.02
Error Request Count,4.00
Maximum Response Timestamp (ns),1777571231999995392.00
Minimum Request Timestamp (ns),1777571188982931200.00
Output Token Throughput (tokens/sec),562.24
Request Count,96.00
Request Throughput (requests/sec),2.23
Total Input Sequence Length (tokens),517814.00
Total Output Sequence Length (tokens),24186.00
Total Output Tokens (tokens),24186.00
Total Token Throughput (tokens/sec),12599.65
Total Usage Completion Tokens (tokens),24186.00
Total Usage Prompt Tokens (tokens),517814.00
Total Usage Total Tokens (tokens),542000.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,SM Utilization (%),1.30,0.00,2.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,2.00,2.00,0.83,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),145.88,73.15,273.81,73.25,73.39,73.46,74.23,107.70,219.57,262.75,268.01,272.29,76.95,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),37.64,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,47.41,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),36.02,31.00,42.00,31.00,31.00,31.00,33.00,36.00,40.00,41.00,41.00,42.00,3.60,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),23.75,0.00,72.00,0.00,0.00,0.00,0.00,0.00,56.50,70.20,71.00,72.00,30.49,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,SM Utilization (%),31.29,0.00,58.00,0.00,0.00,0.00,21.00,31.00,43.00,56.00,58.00,58.00,18.64,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),55.64,55.49,55.73,55.49,55.49,55.49,55.60,55.66,55.73,55.73,55.73,55.73,0.09,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
