Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.98,0.00,56.89,0.00,0.00,0.00,0.00,0.00,1.27,1.38,1.42,2.15,5.65
HTTP Connection Overhead (ms),1.18,0.00,57.50,0.00,0.00,0.00,0.00,0.00,1.82,1.99,2.15,2.92,5.73
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.03,0.63,1.89,0.83,0.88,0.89,0.93,1.01,1.09,1.15,1.21,1.77,0.16
HTTP Data Sent (KB),348.45,282.82,502.40,282.94,282.98,283.05,283.20,318.46,332.30,502.25,502.30,502.36,79.05
HTTP DNS Lookup (ms),0.20,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.54,0.63,0.71,0.78,0.29
HTTP Duration (excl. conn) (ms),2591.04,907.71,3993.76,953.95,1186.30,1398.90,1884.21,2850.41,3257.80,3659.21,3694.97,3827.48,846.42
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.24,0.12,57.33,0.12,0.13,0.13,0.14,0.18,1.69,1.82,1.89,2.68,5.69
HTTP Total Time (ms),2592.20,907.70,3993.74,953.94,1186.29,1399.07,1884.20,2850.39,3259.62,3666.36,3717.69,3829.57,847.60
HTTP Waiting (TTFB) (ms),2589.78,907.54,3993.56,953.72,1186.15,1398.53,1884.06,2850.19,3255.98,3657.46,3693.35,3825.69,845.36
Image Latency (ms/image),2591.13,907.76,3993.81,954.01,1186.35,1398.96,1884.27,2850.47,3258.00,3659.38,3695.17,3827.64,846.46
Image Throughput (images/sec),0.44,0.25,1.10,0.26,0.27,0.27,0.31,0.35,0.53,0.71,0.84,1.05,0.19
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-63.72,-94.92,0.00,-79.07,-75.78,-74.65,-70.80,-64.45,-59.57,-53.48,-50.29,0.00,12.35
Output Sequence Length (tokens),92.87,13.00,256.00,53.59,62.00,64.90,74.75,91.00,103.50,119.10,127.25,256.00,31.62
Output Token Count (tokens),92.87,13.00,256.00,53.59,62.00,64.90,74.75,91.00,103.50,119.10,127.25,256.00,31.62
Request Latency (ms),2591.13,907.76,3993.81,954.01,1186.35,1398.96,1884.27,2850.47,3258.00,3659.38,3695.17,3827.64,846.46
Usage Completion Tokens (tokens),92.87,13.00,256.00,53.59,62.00,64.90,74.75,91.00,103.50,119.10,127.25,256.00,31.62
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),987.87,908.00,1151.00,948.59,957.00,959.90,969.75,986.00,998.50,1014.10,1022.25,1151.00,31.62

Metric,Value
Benchmark Duration (sec),8.96
Maximum Response Timestamp (ns),1777569481498731264.00
Minimum Request Timestamp (ns),1777569472541037312.00
OSL Mismatch Count,98.00
Output Token Throughput (tokens/sec),1036.76
Request Count,100.00
Request Throughput (requests/sec),11.16
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9287.00
Total Output Tokens (tokens),9287.00
Total Token Throughput (tokens/sec),11028.17
Total Usage Completion Tokens (tokens),9287.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98787.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Power Usage (W),186.27,72.71,237.66,72.73,72.81,85.72,198.45,206.17,210.49,232.62,236.82,237.54,53.33,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Utilization (%),86.88,0.00,100.00,0.00,0.00,32.00,100.00,100.00,100.00,100.00,100.00,100.00,33.01,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Temperature (°C),36.32,31.00,39.00,31.00,31.00,32.20,36.00,37.00,38.00,38.00,38.80,39.00,2.34,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Memory Utilization (%),46.08,0.00,60.00,0.00,0.00,17.60,51.00,51.00,54.00,58.00,58.80,59.76,17.81,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,SM Utilization (%),23.36,0.00,52.00,0.00,0.00,0.40,9.00,22.00,37.00,46.20,49.40,51.52,17.11,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Power Usage (W),51.89,51.74,52.10,51.75,51.80,51.80,51.86,51.86,51.92,52.10,52.10,52.10,0.10,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Temperature (°C),28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Power Violation (us),0.00,,,,,,,,,,,,,localhost
